,date,hour,desc
136,2015-01-18,0,Clear
137,2015-01-18,300,Clear
138,2015-01-18,600,Sunny
139,2015-01-18,900,Sunny
140,2015-01-18,1200,Partly cloudy
141,2015-01-18,1500,Cloudy
142,2015-01-18,1800,Partly cloudy
143,2015-01-18,2100,Cloudy
144,2015-01-19,0,Cloudy
145,2015-01-19,300,Partly cloudy
146,2015-01-19,600,Sunny
147,2015-01-19,900,Sunny
148,2015-01-19,1200,Partly cloudy
149,2015-01-19,1500,Patchy rain possible
150,2015-01-19,1800,Partly cloudy
151,2015-01-19,2100,Patchy rain possible
152,2015-01-20,0,Partly cloudy
153,2015-01-20,300,Partly cloudy
154,2015-01-20,600,Partly cloudy
155,2015-01-20,900,Sunny
156,2015-01-20,1200,Partly cloudy
157,2015-01-20,1500,Patchy rain possible
158,2015-01-20,1800,Patchy rain possible
159,2015-01-20,2100,Partly cloudy
160,2015-01-21,0,Clear
161,2015-01-21,300,Partly cloudy
162,2015-01-21,600,Partly cloudy
163,2015-01-21,900,Partly cloudy
164,2015-01-21,1200,Light rain shower
165,2015-01-21,1500,Moderate or heavy rain shower
166,2015-01-21,1800,Patchy rain possible
167,2015-01-21,2100,Partly cloudy
168,2015-01-22,0,Partly cloudy
169,2015-01-22,300,Partly cloudy
170,2015-01-22,600,Partly cloudy
171,2015-01-22,900,Partly cloudy
172,2015-01-22,1200,Partly cloudy
173,2015-01-22,1500,Light rain shower
174,2015-01-22,1800,Partly cloudy
175,2015-01-22,2100,Patchy rain possible
176,2015-01-23,0,Partly cloudy
177,2015-01-23,300,Clear
178,2015-01-23,600,Sunny
179,2015-01-23,900,Sunny
180,2015-01-23,1200,Cloudy
181,2015-01-23,1500,Light rain shower
182,2015-01-23,1800,Clear
183,2015-01-23,2100,Patchy rain possible
184,2015-01-24,0,Partly cloudy
185,2015-01-24,300,Mist
186,2015-01-24,600,Partly cloudy
187,2015-01-24,900,Patchy rain possible
188,2015-01-24,1200,Light rain shower
189,2015-01-24,1500,Light rain shower
190,2015-01-24,1800,Patchy rain possible
191,2015-01-24,2100,Patchy rain possible
192,2015-01-25,0,Mist
193,2015-01-25,300,Mist
194,2015-01-25,600,Partly cloudy
195,2015-01-25,900,Partly cloudy
196,2015-01-25,1200,Cloudy
197,2015-01-25,1500,Light rain shower
198,2015-01-25,1800,Patchy rain possible
199,2015-01-25,2100,Partly cloudy
200,2015-01-26,0,Patchy rain possible
201,2015-01-26,300,Clear
202,2015-01-26,600,Partly cloudy
203,2015-01-26,900,Partly cloudy
204,2015-01-26,1200,Light rain shower
205,2015-01-26,1500,Light rain shower
206,2015-01-26,1800,Partly cloudy
207,2015-01-26,2100,Light rain shower
208,2015-01-27,0,Mist
209,2015-01-27,300,Mist
210,2015-01-27,600,Partly cloudy
211,2015-01-27,900,Sunny
212,2015-01-27,1200,Patchy rain possible
213,2015-01-27,1500,Patchy rain possible
214,2015-01-27,1800,Patchy rain possible
215,2015-01-27,2100,Partly cloudy
216,2015-01-28,0,Partly cloudy
217,2015-01-28,300,Partly cloudy
218,2015-01-28,600,Sunny
219,2015-01-28,900,Sunny
220,2015-01-28,1200,Sunny
221,2015-01-28,1500,Patchy rain possible
222,2015-01-28,1800,Partly cloudy
223,2015-01-28,2100,Partly cloudy
224,2015-01-29,0,Clear
225,2015-01-29,300,Clear
226,2015-01-29,600,Sunny
227,2015-01-29,900,Partly cloudy
228,2015-01-29,1200,Partly cloudy
229,2015-01-29,1500,Partly cloudy
230,2015-01-29,1800,Partly cloudy
231,2015-01-29,2100,Partly cloudy
232,2015-01-30,0,Partly cloudy
233,2015-01-30,300,Partly cloudy
234,2015-01-30,600,Partly cloudy
235,2015-01-30,900,Sunny
236,2015-01-30,1200,Patchy rain possible
237,2015-01-30,1500,Moderate or heavy rain shower
238,2015-01-30,1800,Light rain shower
239,2015-01-30,2100,Clear
240,2015-01-31,0,Clear
241,2015-01-31,300,Clear
242,2015-01-31,600,Sunny
243,2015-01-31,900,Sunny
244,2015-01-31,1200,Partly cloudy
245,2015-01-31,1500,Sunny
246,2015-01-31,1800,Clear
247,2015-01-31,2100,Clear
248,2015-02-01,0,Clear
249,2015-02-01,300,Clear
250,2015-02-01,600,Sunny
251,2015-02-01,900,Sunny
252,2015-02-01,1200,Sunny
253,2015-02-01,1500,Sunny
254,2015-02-01,1800,Clear
255,2015-02-01,2100,Clear
256,2015-02-02,0,Clear
257,2015-02-02,300,Clear
258,2015-02-02,600,Sunny
259,2015-02-02,900,Sunny
260,2015-02-02,1200,Sunny
261,2015-02-02,1500,Patchy rain possible
262,2015-02-02,1800,Partly cloudy
263,2015-02-02,2100,Partly cloudy
264,2015-02-03,0,Partly cloudy
265,2015-02-03,300,Clear
266,2015-02-03,600,Partly cloudy
267,2015-02-03,900,Partly cloudy
268,2015-02-03,1200,Partly cloudy
269,2015-02-03,1500,Light rain shower
270,2015-02-03,1800,Overcast
271,2015-02-03,2100,Patchy light rain
272,2015-02-04,0,Patchy light drizzle
273,2015-02-04,300,Mist
274,2015-02-04,600,Patchy light drizzle
275,2015-02-04,900,Light drizzle
276,2015-02-04,1200,Patchy light drizzle
277,2015-02-04,1500,Cloudy
278,2015-02-04,1800,Partly cloudy
279,2015-02-04,2100,Partly cloudy
280,2015-02-05,0,Partly cloudy
281,2015-02-05,300,Partly cloudy
282,2015-02-05,600,Partly cloudy
283,2015-02-05,900,Partly cloudy
284,2015-02-05,1200,Partly cloudy
285,2015-02-05,1500,Patchy rain possible
286,2015-02-05,1800,Clear
287,2015-02-05,2100,Clear
288,2015-02-06,0,Clear
289,2015-02-06,300,Partly cloudy
290,2015-02-06,600,Partly cloudy
291,2015-02-06,900,Partly cloudy
292,2015-02-06,1200,Partly cloudy
293,2015-02-06,1500,Light rain shower
294,2015-02-06,1800,Partly cloudy
295,2015-02-06,2100,Partly cloudy
296,2015-02-07,0,Clear
297,2015-02-07,300,Clear
298,2015-02-07,600,Sunny
299,2015-02-07,900,Partly cloudy
300,2015-02-07,1200,Partly cloudy
301,2015-02-07,1500,Partly cloudy
302,2015-02-07,1800,Cloudy
303,2015-02-07,2100,Clear
304,2015-02-08,0,Clear
305,2015-02-08,300,Clear
306,2015-02-08,600,Sunny
307,2015-02-08,900,Sunny
308,2015-02-08,1200,Partly cloudy
309,2015-02-08,1500,Cloudy
310,2015-02-08,1800,Clear
311,2015-02-08,2100,Clear
312,2015-02-09,0,Clear
313,2015-02-09,300,Clear
314,2015-02-09,600,Sunny
315,2015-02-09,900,Sunny
316,2015-02-09,1200,Partly cloudy
317,2015-02-09,1500,Partly cloudy
318,2015-02-09,1800,Light rain shower
319,2015-02-09,2100,Partly cloudy
320,2015-02-10,0,Clear
321,2015-02-10,300,Partly cloudy
322,2015-02-10,600,Partly cloudy
323,2015-02-10,900,Cloudy
324,2015-02-10,1200,Cloudy
325,2015-02-10,1500,Cloudy
326,2015-02-10,1800,Clear
327,2015-02-10,2100,Partly cloudy
328,2015-02-11,0,Partly cloudy
329,2015-02-11,300,Cloudy
330,2015-02-11,600,Partly cloudy
331,2015-02-11,900,Partly cloudy
332,2015-02-11,1200,Partly cloudy
333,2015-02-11,1500,Partly cloudy
334,2015-02-11,1800,Clear
335,2015-02-11,2100,Partly cloudy
336,2015-02-12,0,Clear
337,2015-02-12,300,Partly cloudy
338,2015-02-12,600,Sunny
339,2015-02-12,900,Sunny
340,2015-02-12,1200,Partly cloudy
341,2015-02-12,1500,Partly cloudy
342,2015-02-12,1800,Clear
343,2015-02-12,2100,Cloudy
344,2015-02-13,0,Partly cloudy
345,2015-02-13,300,Clear
346,2015-02-13,600,Sunny
347,2015-02-13,900,Partly cloudy
348,2015-02-13,1200,Cloudy
349,2015-02-13,1500,Light rain shower
350,2015-02-13,1800,Partly cloudy
351,2015-02-13,2100,Patchy rain possible
352,2015-02-14,0,Partly cloudy
353,2015-02-14,300,Mist
354,2015-02-14,600,Sunny
355,2015-02-14,900,Sunny
356,2015-02-14,1200,Partly cloudy
357,2015-02-14,1500,Patchy rain possible
358,2015-02-14,1800,Patchy rain possible
359,2015-02-14,2100,Patchy rain possible
360,2015-02-15,0,Mist
361,2015-02-15,300,Mist
362,2015-02-15,600,Mist
363,2015-02-15,900,Patchy rain possible
364,2015-02-15,1200,Light rain shower
365,2015-02-15,1500,Patchy rain possible
366,2015-02-15,1800,Patchy rain possible
367,2015-02-15,2100,Partly cloudy
368,2015-02-16,0,Clear
369,2015-02-16,300,Clear
370,2015-02-16,600,Sunny
371,2015-02-16,900,Sunny
372,2015-02-16,1200,Light rain shower
373,2015-02-16,1500,Patchy rain possible
374,2015-02-16,1800,Patchy rain possible
375,2015-02-16,2100,Partly cloudy
376,2015-02-17,0,Clear
377,2015-02-17,300,Partly cloudy
378,2015-02-17,600,Partly cloudy
379,2015-02-17,900,Partly cloudy
380,2015-02-17,1200,Partly cloudy
381,2015-02-17,1500,Light rain shower
382,2015-02-17,1800,Partly cloudy
383,2015-02-17,2100,Partly cloudy
384,2015-02-18,0,Partly cloudy
385,2015-02-18,300,Clear
386,2015-02-18,600,Partly cloudy
387,2015-02-18,900,Sunny
388,2015-02-18,1200,Partly cloudy
389,2015-02-18,1500,Patchy rain possible
390,2015-02-18,1800,Light rain shower
391,2015-02-18,2100,Moderate or heavy rain shower
392,2015-02-19,0,Light rain shower
393,2015-02-19,300,Light rain shower
394,2015-02-19,600,Light rain shower
395,2015-02-19,900,Patchy rain possible
396,2015-02-19,1200,Patchy rain possible
397,2015-02-19,1500,Patchy rain possible
398,2015-02-19,1800,Light rain shower
399,2015-02-19,2100,Light rain shower
400,2015-02-20,0,Light rain shower
401,2015-02-20,300,Cloudy
402,2015-02-20,600,Partly cloudy
403,2015-02-20,900,Sunny
404,2015-02-20,1200,Partly cloudy
405,2015-02-20,1500,Sunny
406,2015-02-20,1800,Clear
407,2015-02-20,2100,Clear
408,2015-02-21,0,Clear
409,2015-02-21,300,Clear
410,2015-02-21,600,Sunny
411,2015-02-21,900,Sunny
412,2015-02-21,1200,Sunny
413,2015-02-21,1500,Sunny
414,2015-02-21,1800,Clear
415,2015-02-21,2100,Clear
416,2015-02-22,0,Clear
417,2015-02-22,300,Clear
418,2015-02-22,600,Sunny
419,2015-02-22,900,Sunny
420,2015-02-22,1200,Partly cloudy
421,2015-02-22,1500,Patchy rain possible
422,2015-02-22,1800,Moderate or heavy rain shower
423,2015-02-22,2100,Patchy rain possible
424,2015-02-23,0,Patchy rain possible
425,2015-02-23,300,Clear
426,2015-02-23,600,Sunny
427,2015-02-23,900,Sunny
428,2015-02-23,1200,Patchy rain possible
429,2015-02-23,1500,Patchy rain possible
430,2015-02-23,1800,Moderate or heavy rain shower
431,2015-02-23,2100,Patchy rain possible
432,2015-02-24,0,Patchy rain possible
433,2015-02-24,300,Mist
434,2015-02-24,600,Sunny
435,2015-02-24,900,Sunny
436,2015-02-24,1200,Light rain shower
437,2015-02-24,1500,Patchy rain possible
438,2015-02-24,1800,Patchy rain possible
439,2015-02-24,2100,Cloudy
440,2015-02-25,0,Overcast
441,2015-02-25,300,Cloudy
442,2015-02-25,600,Partly cloudy
443,2015-02-25,900,Patchy rain possible
444,2015-02-25,1200,Patchy rain possible
445,2015-02-25,1500,Patchy rain possible
446,2015-02-25,1800,Patchy rain possible
447,2015-02-25,2100,Partly cloudy
448,2015-02-26,0,Partly cloudy
449,2015-02-26,300,Mist
450,2015-02-26,600,Partly cloudy
451,2015-02-26,900,Partly cloudy
452,2015-02-26,1200,Patchy rain possible
453,2015-02-26,1500,Patchy rain possible
454,2015-02-26,1800,Clear
455,2015-02-26,2100,Clear
456,2015-02-27,0,Clear
457,2015-02-27,300,Partly cloudy
458,2015-02-27,600,Partly cloudy
459,2015-02-27,900,Partly cloudy
460,2015-02-27,1200,Partly cloudy
461,2015-02-27,1500,Patchy rain possible
462,2015-02-27,1800,Patchy rain possible
463,2015-02-27,2100,Patchy rain possible
464,2015-02-28,0,Mist
465,2015-02-28,300,Mist
466,2015-02-28,600,Sunny
467,2015-02-28,900,Sunny
468,2015-02-28,1200,Partly cloudy
469,2015-02-28,1500,Patchy rain possible
470,2015-02-28,1800,Clear
471,2015-02-28,2100,Clear
472,2015-03-01,0,Clear
473,2015-03-01,300,Clear
474,2015-03-01,600,Sunny
475,2015-03-01,900,Patchy rain possible
476,2015-03-01,1200,Partly cloudy
477,2015-03-01,1500,Patchy rain possible
478,2015-03-01,1800,Patchy rain possible
479,2015-03-01,2100,Partly cloudy
480,2015-03-02,0,Clear
481,2015-03-02,300,Clear
482,2015-03-02,600,Sunny
483,2015-03-02,900,Sunny
484,2015-03-02,1200,Partly cloudy
485,2015-03-02,1500,Patchy rain possible
486,2015-03-02,1800,Patchy rain possible
487,2015-03-02,2100,Partly cloudy
488,2015-03-03,0,Partly cloudy
489,2015-03-03,300,Clear
490,2015-03-03,600,Sunny
491,2015-03-03,900,Sunny
492,2015-03-03,1200,Partly cloudy
493,2015-03-03,1500,Partly cloudy
494,2015-03-03,1800,Patchy rain possible
495,2015-03-03,2100,Clear
496,2015-03-04,0,Clear
497,2015-03-04,300,Partly cloudy
498,2015-03-04,600,Partly cloudy
499,2015-03-04,900,Sunny
500,2015-03-04,1200,Patchy rain possible
501,2015-03-04,1500,Patchy rain possible
502,2015-03-04,1800,Patchy rain possible
503,2015-03-04,2100,Patchy rain possible
504,2015-03-05,0,Patchy rain possible
505,2015-03-05,300,Patchy rain possible
506,2015-03-05,600,Patchy rain possible
507,2015-03-05,900,Sunny
508,2015-03-05,1200,Light rain shower
509,2015-03-05,1500,Moderate or heavy rain shower
510,2015-03-05,1800,Light rain shower
511,2015-03-05,2100,Moderate or heavy rain shower
512,2015-03-06,0,Patchy rain possible
513,2015-03-06,300,Light rain shower
514,2015-03-06,600,Patchy rain possible
515,2015-03-06,900,Sunny
516,2015-03-06,1200,Patchy rain possible
517,2015-03-06,1500,Patchy rain possible
518,2015-03-06,1800,Patchy rain possible
519,2015-03-06,2100,Clear
520,2015-03-07,0,Clear
521,2015-03-07,300,Clear
522,2015-03-07,600,Sunny
523,2015-03-07,900,Partly cloudy
524,2015-03-07,1200,Light rain shower
525,2015-03-07,1500,Patchy rain possible
526,2015-03-07,1800,Patchy rain possible
527,2015-03-07,2100,Moderate or heavy rain shower
528,2015-03-08,0,Partly cloudy
529,2015-03-08,300,Mist
530,2015-03-08,600,Partly cloudy
531,2015-03-08,900,Patchy rain possible
532,2015-03-08,1200,Light rain shower
533,2015-03-08,1500,Moderate or heavy rain shower
534,2015-03-08,1800,Moderate or heavy rain shower
535,2015-03-08,2100,Partly cloudy
536,2015-03-09,0,Patchy rain possible
537,2015-03-09,300,Light rain shower
538,2015-03-09,600,Light rain shower
539,2015-03-09,900,Patchy rain possible
540,2015-03-09,1200,Light rain shower
541,2015-03-09,1500,Moderate or heavy rain shower
542,2015-03-09,1800,Moderate or heavy rain shower
543,2015-03-09,2100,Moderate or heavy rain shower
544,2015-03-10,0,Patchy rain possible
545,2015-03-10,300,Clear
546,2015-03-10,600,Sunny
547,2015-03-10,900,Sunny
548,2015-03-10,1200,Sunny
549,2015-03-10,1500,Sunny
550,2015-03-10,1800,Clear
551,2015-03-10,2100,Clear
552,2015-03-11,0,Partly cloudy
553,2015-03-11,300,Patchy rain possible
554,2015-03-11,600,Partly cloudy
555,2015-03-11,900,Patchy rain possible
556,2015-03-11,1200,Partly cloudy
557,2015-03-11,1500,Patchy rain possible
558,2015-03-11,1800,Cloudy
559,2015-03-11,2100,Patchy rain possible
560,2015-03-12,0,Partly cloudy
561,2015-03-12,300,Patchy rain possible
562,2015-03-12,600,Partly cloudy
563,2015-03-12,900,Patchy rain possible
564,2015-03-12,1200,Partly cloudy
565,2015-03-12,1500,Patchy rain possible
566,2015-03-12,1800,Partly cloudy
567,2015-03-12,2100,Patchy rain possible
568,2015-03-13,0,Cloudy
569,2015-03-13,300,Patchy rain possible
570,2015-03-13,600,Partly cloudy
571,2015-03-13,900,Patchy rain possible
572,2015-03-13,1200,Cloudy
573,2015-03-13,1500,Moderate rain at times
574,2015-03-13,1800,Partly cloudy
575,2015-03-13,2100,Patchy rain possible
576,2015-03-14,0,Partly cloudy
577,2015-03-14,300,Patchy rain possible
578,2015-03-14,600,Partly cloudy
579,2015-03-14,900,Patchy rain possible
580,2015-03-14,1200,Partly cloudy
581,2015-03-14,1500,Moderate rain at times
582,2015-03-14,1800,Partly cloudy
583,2015-03-14,2100,Patchy rain possible
584,2015-03-15,0,Partly cloudy
585,2015-03-15,300,Patchy rain possible
586,2015-03-15,600,Partly cloudy
587,2015-03-15,900,Patchy rain possible
588,2015-03-15,1200,Partly cloudy
589,2015-03-15,1500,Moderate rain at times
590,2015-03-15,1800,Cloudy
591,2015-03-15,2100,Patchy rain possible
592,2015-03-16,0,Cloudy
593,2015-03-16,300,Patchy rain possible
594,2015-03-16,600,Partly cloudy
595,2015-03-16,900,Patchy rain possible
596,2015-03-16,1200,Partly cloudy
597,2015-03-16,1500,Moderate rain at times
598,2015-03-16,1800,Partly cloudy
599,2015-03-16,2100,Moderate rain at times
600,2015-03-17,0,Partly cloudy
601,2015-03-17,300,Patchy rain possible
602,2015-03-17,600,Patchy rain possible
603,2015-03-17,900,Patchy rain possible
604,2015-03-17,1200,Partly cloudy
605,2015-03-17,1500,Moderate rain at times
606,2015-03-17,1800,Partly cloudy
607,2015-03-17,2100,Patchy rain possible
608,2015-03-18,0,Partly cloudy
609,2015-03-18,300,Patchy rain possible
610,2015-03-18,600,Partly cloudy
611,2015-03-18,900,Patchy rain possible
612,2015-03-18,1200,Partly cloudy
613,2015-03-18,1500,Moderate rain at times
614,2015-03-18,1800,Partly cloudy
615,2015-03-18,2100,Patchy rain possible
616,2015-03-19,0,Partly cloudy
617,2015-03-19,300,Patchy rain possible
618,2015-03-19,600,Partly cloudy
619,2015-03-19,900,Patchy rain possible
620,2015-03-19,1200,Partly cloudy
621,2015-03-19,1500,Moderate rain at times
622,2015-03-19,1800,Partly cloudy
623,2015-03-19,2100,Clear
624,2015-03-20,0,Patchy rain possible
625,2015-03-20,300,Mist
626,2015-03-20,600,Sunny
627,2015-03-20,900,Sunny
628,2015-03-20,1200,Sunny
629,2015-03-20,1500,Patchy rain possible
630,2015-03-20,1800,Clear
631,2015-03-20,2100,Clear
632,2015-03-21,0,Patchy rain possible
633,2015-03-21,300,Clear
634,2015-03-21,600,Partly cloudy
635,2015-03-21,900,Sunny
636,2015-03-21,1200,Light rain shower
637,2015-03-21,1500,Light rain shower
638,2015-03-21,1800,Moderate or heavy rain shower
639,2015-03-21,2100,Moderate or heavy rain shower
640,2015-03-22,0,Moderate or heavy rain shower
641,2015-03-22,300,Clear
642,2015-03-22,600,Partly cloudy
643,2015-03-22,900,Patchy rain possible
644,2015-03-22,1200,Partly cloudy
645,2015-03-22,1500,Light rain shower
646,2015-03-22,1800,Patchy rain possible
647,2015-03-22,2100,Clear
648,2015-03-23,0,Partly cloudy
649,2015-03-23,300,Partly cloudy
650,2015-03-23,600,Sunny
651,2015-03-23,900,Sunny
652,2015-03-23,1200,Partly cloudy
653,2015-03-23,1500,Light rain shower
654,2015-03-23,1800,Moderate or heavy rain shower
655,2015-03-23,2100,Patchy rain possible
656,2015-03-24,0,Mist
657,2015-03-24,300,Patchy rain possible
658,2015-03-24,600,Sunny
659,2015-03-24,900,Partly cloudy
660,2015-03-24,1200,Patchy rain possible
661,2015-03-24,1500,Patchy rain possible
662,2015-03-24,1800,Patchy rain possible
663,2015-03-24,2100,Patchy rain possible
664,2015-03-25,0,Mist
665,2015-03-25,300,Mist
666,2015-03-25,600,Sunny
667,2015-03-25,900,Sunny
668,2015-03-25,1200,Partly cloudy
669,2015-03-25,1500,Moderate or heavy rain shower
670,2015-03-25,1800,Clear
671,2015-03-25,2100,Partly cloudy
672,2015-03-26,0,Clear
673,2015-03-26,300,Clear
674,2015-03-26,600,Sunny
675,2015-03-26,900,Sunny
676,2015-03-26,1200,Partly cloudy
677,2015-03-26,1500,Moderate or heavy rain shower
678,2015-03-26,1800,Clear
679,2015-03-26,2100,Moderate or heavy rain shower
680,2015-03-27,0,Partly cloudy
681,2015-03-27,300,Partly cloudy
682,2015-03-27,600,Sunny
683,2015-03-27,900,Sunny
684,2015-03-27,1200,Partly cloudy
685,2015-03-27,1500,Patchy rain possible
686,2015-03-27,1800,Partly cloudy
687,2015-03-27,2100,Patchy rain possible
688,2015-03-28,0,Clear
689,2015-03-28,300,Clear
690,2015-03-28,600,Sunny
691,2015-03-28,900,Sunny
692,2015-03-28,1200,Sunny
693,2015-03-28,1500,Moderate or heavy rain shower
694,2015-03-28,1800,Patchy rain possible
695,2015-03-28,2100,Partly cloudy
696,2015-03-29,0,Clear
697,2015-03-29,300,Clear
698,2015-03-29,600,Sunny
699,2015-03-29,900,Sunny
700,2015-03-29,1200,Light rain shower
701,2015-03-29,1500,Patchy rain possible
702,2015-03-29,1800,Patchy rain possible
703,2015-03-29,2100,Patchy rain possible
704,2015-03-30,0,Clear
705,2015-03-30,300,Clear
706,2015-03-30,600,Sunny
707,2015-03-30,900,Sunny
708,2015-03-30,1200,Light rain shower
709,2015-03-30,1500,Moderate or heavy rain shower
710,2015-03-30,1800,Moderate or heavy rain shower
711,2015-03-30,2100,Patchy rain possible
712,2015-03-31,0,Patchy rain possible
713,2015-03-31,300,Partly cloudy
714,2015-03-31,600,Patchy rain possible
715,2015-03-31,900,Sunny
716,2015-03-31,1200,Patchy rain possible
717,2015-03-31,1500,Moderate or heavy rain shower
718,2015-03-31,1800,Light rain shower
719,2015-03-31,2100,Patchy rain possible
720,2015-04-01,0,Mist
721,2015-04-01,300,Light rain shower
722,2015-04-01,600,Patchy rain possible
723,2015-04-01,900,Patchy rain possible
724,2015-04-01,1200,Patchy rain possible
725,2015-04-01,1500,Moderate or heavy rain shower
726,2015-04-01,1800,Moderate or heavy rain shower
727,2015-04-01,2100,Patchy rain possible
728,2015-04-02,0,Moderate or heavy rain shower
729,2015-04-02,300,Partly cloudy
730,2015-04-02,600,Partly cloudy
731,2015-04-02,900,Patchy rain possible
732,2015-04-02,1200,Light rain shower
733,2015-04-02,1500,Patchy rain possible
734,2015-04-02,1800,Patchy rain possible
735,2015-04-02,2100,Partly cloudy
736,2015-04-03,0,Patchy rain possible
737,2015-04-03,300,Patchy rain possible
738,2015-04-03,600,Light rain shower
739,2015-04-03,900,Partly cloudy
740,2015-04-03,1200,Light rain shower
741,2015-04-03,1500,Moderate or heavy rain shower
742,2015-04-03,1800,Moderate or heavy rain shower
743,2015-04-03,2100,Clear
744,2015-04-04,0,Clear
745,2015-04-04,300,Patchy rain possible
746,2015-04-04,600,Sunny
747,2015-04-04,900,Sunny
