Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,latitude,longitude,Num_of_Baskets
20/10/2015,10:57:47,malay,male,fat,,yes,toddler,big,,,grey,,grey,long,clothes,5,9,no,2.9215466419233587,101.66804382364266,
20/10/2015,11:13:26,malay,female,fat,55.0,yes,,big,blue,traditional,,long sleeve,orange,long,clothes,6,7,,2.943176548767781,101.73465635259636,1.0
20/10/2015,11:19:20,malay,female,moderate,50.0,yes,young,big,pink,casual,green,long sleeve,grey,long,clothes,5,10,no,2.915475549026552,101.66165640011339,2.0
20/10/2015,11:27:26,indian,male,fat,34.0,no,no_kids,big,black,casual,red,short_sleeve,grey,long,clothes,3,10,no,2.9438314389351303,101.68238141127824,1.0
20/10/2015,11:27:57,,male,moderate,53.0,yes,baby,big,pink,formal,red,long sleeve,black,long,clothes,5,9,no,2.9344337380537198,101.72585926862752,1.0
20/10/2015,11:28:43,malay,female,fat,38.0,yes,young,big,white,casual,red,,blue  ,long,blankets,3,7,,2.9677667740417064,101.68558205587051,1.0
20/10/2015,13:36:46,chinese,female,thin,29.0,no,,small,white,casual,brown,short_sleeve,black ,long,,3,7,yes,2.951222745121479,101.72352452311414,3.0
20/10/2015,12:10:46,chinese,female,moderate,44.0,no,no_kids,big,white,casual,,short_sleeve,,long,clothes,5,7,no,2.93940293206022,101.66339333227437,1.0
20/10/2015,13:44:03,chinese,female,moderate,42.0,,no_kids,small,orange,casual,black,short_sleeve,black,long,clothes,3,8,no,2.947776712987077,101.69789945253896,3.0
20/10/2015,13:47:46,chinese,male,thin,41.0,no,no_kids,big,white,,black,,brown,long,clothes,6,9,no,2.9662059003919525,101.63468781752812,1.0
20/10/2015,14:39:57,,male,thin,36.0,yes,young,,red,,grey,,white,short,blankets,5,9,yes,2.966805235445467,101.69188599622474,3.0
20/10/2015,14:54:19,indian,male,fat,,no,no_kids,big,,,black,,blue_jeans,long,,4,10,no,2.904241871802481,101.66937222199385,2.0
20/10/2015,14:54:19,indian,male,thin,42.0,,no_kids,big,blue,,black,short_sleeve,blue_jeans,long,clothes,6,9,no,2.953809463430514,101.68642765765294,
20/10/2015,15:26:05,malay,female,fat,32.0,no,no_kids,big,purple,,,,black,long,clothes,3,7,no,2.9717033734439675,101.67861694951473,2.0
20/10/2015,15:45:51,chinese,male,thin,40.0,yes,toddler,big,red,casual,,short_sleeve,white,short,clothes,5,9,yes,2.9259921467795564,101.72597053495318,2.0
20/10/2015,15:52:41,foreigner ,male,moderate,39.0,no,no_kids,big,blue,casual,black,short_sleeve,,long,,3,8,no,2.9414691503505592,101.70943549905442,
20/10/2015,16:01:30,,female,fat,55.0,no,no_kids,big,purple,casual,purple,long sleeve,black,long,clothes,3,7,no,2.9595008650821577,101.70814219508746,2.0
20/10/2015,16:34:06,chinese,male,thin,46.0,no,no_kids,big,red,,purple,short_sleeve,black,,clothes,4,7,no,2.9326910117141596,101.64327770922907,2.0
20/10/2015,18:14:37,malay,female,thin,46.0,no,no_kids,small,white,casual,white,,grey,,,6,10,no,2.9437312992130287,101.73496055358794,1.0
20/10/2015,18:34:26,malay,male,fat,35.0,no,no_kids,big,blue,formal,white,short_sleeve,brown,,clothes,4,7,yes,2.9324451475549558,101.73653780155033,2.0
20/10/2015,18:37:46,chinese,female,thin,35.0,,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no,2.938365035398456,101.70213954753618,2.0
20/10/2015,18:48:34,malay,female,,41.0,no,,big,red,formal,orange,long sleeve,black,long,clothes,5,10,no,2.961409415045869,101.69546545320607,3.0
20/10/2015,18:57:46,malay,female,fat,31.0,,no_kids,big,red,traditional,green,long sleeve,green,long,clothes,4,9,yes,2.909508314360379,101.7448743202171,2.0
20/10/2015,18:57:46,malay,female,fat,34.0,no,no_kids,big,red,traditional,brown,long sleeve,brown,long,clothes,5,9,,2.9203415127722994,101.71277925338664,3.0
20/10/2015,20:09:18,malay,female,fat,36.0,no,no_kids,big,blue,casual,grey,long sleeve,black,long,,4,8,no,2.938475942730551,101.68528132661366,1.0
20/10/2015,20:21:03,malay,,,33.0,no,,big,,casual,black,short_sleeve,blue_jeans,long,clothes,4,10,yes,2.920208022454035,101.71416112736084,1.0
20/10/2015,20:21:03,malay,,fat,51.0,no,no_kids,big,blue,casual,blue,short_sleeve,red,long,clothes,6,9,no,2.9110344559313464,101.74599851569349,2.0
20/10/2015,20:21:03,foreigner ,female,moderate,46.0,no,no_kids,,,formal,grey,long sleeve,black,long,blankets,3,7,no,2.9622756976911386,101.69189512275815,1.0
20/10/2015,20:32:37,,female,moderate,51.0,no,no_kids,big,,casual,red,long sleeve,red,long,clothes,6,8,no,2.93284107765839,101.66246162266802,2.0
20/10/2015,20:44:46,indian,male,fat,,no,no_kids,big,,casual,red,short_sleeve,black,short,clothes,5,7,no,2.938229595985625,101.73282275022261,1.0
20/10/2015,20:48:32,malay,,fat,28.0,no,no_kids,big,blue,casual,blue,long sleeve,brown,long,clothes,3,9,yes,2.9223809285298126,101.68786398975239,1.0
20/10/2015,21:39:30,indian,male,moderate,49.0,no,no_kids,big,red,casual,,short_sleeve,,short,clothes,4,8,no,2.919551167537211,101.66847595815864,3.0
20/10/2015,21:44:10,indian,male,fat,48.0,no,no_kids,big,red,,black,short_sleeve,blue,short,clothes,5,10,,2.916453311782591,101.74600870695012,2.0
20/10/2015,21:05:59,,female,fat,,yes,toddler,big,orange,casual,black,short_sleeve,black,long,blankets,5,9,no,2.943119223347408,101.7154265843075,2.0
20/10/2015,22:04:52,indian,female,fat,42.0,no,no_kids,,white,traditional,red,short_sleeve,black,long,clothes,5,7,no,2.9100175597337437,101.67191341852248,3.0
20/10/2015,22:04:52,foreigner ,male,moderate,54.0,no,no_kids,big,white,casual,white,,black,long,clothes,3,9,no,2.965581773108946,101.63848872300444,3.0
20/10/2015,22:10:28,foreigner ,male,,38.0,no,,big,,casual,,short_sleeve,black,long,clothes,3,8,no,2.914720245786607,101.70268255175937,1.0
20/10/2015,22:12:39,chinese,female,thin,39.0,,no_kids,big,blue,casual,blue,long sleeve,yellow,short,clothes,6,7,no,2.9467068501976987,101.72793500185514,3.0
20/10/2015,22:18:01,malay,,thin,53.0,yes,young,big,white,formal,brown,long sleeve,blue,long,clothes,6,8,no,2.9685791564973507,101.64531751688234,3.0
20/10/2015,22:20:42,malay,male,thin,29.0,yes,toddler,big,black,,white,short_sleeve,blue_jeans,long,clothes,3,10,,2.9212874955155197,101.67919261955616,1.0
20/10/2015,22:24:54,indian,male,fat,43.0,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,2.9032085747799465,101.63675340321335,3.0
20/10/2015,22:24:54,indian,female,fat,29.0,yes,young,small,white,,brown,short_sleeve,blue,long,clothes,5,8,no,2.918987500858779,101.68555772986183,1.0
20/10/2015,22:37:12,malay,female,thin,50.0,yes,toddler,big,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no,2.9207383456459493,101.73249814130583,1.0
20/10/2015,22:52:52,malay,,thin,51.0,no,no_kids,small,black,casual,black,short_sleeve,grey,long,,3,9,no,2.9258269101015597,101.73818691959198,2.0
20/10/2015,22:54:56,malay,male,thin,28.0,yes,toddler,big,white,casual,white,short_sleeve,blue_jeans,long,clothes,4,10,no,2.9713276403801143,101.68185066957287,
20/10/2015,22:59:55,indian,female,moderate,55.0,,baby,,white,,blue,short_sleeve,brown,short,clothes,3,9,no,2.9190320940128185,101.66307884456914,1.0
20/10/2015,23:08:44,indian,male,thin,33.0,no,no_kids,small,,casual,white,short_sleeve,black,long,,5,10,no,2.957446651765785,101.66090537596276,3.0
20/10/2015,23:08:44,indian,male,moderate,49.0,,no_kids,small,white,formal,blue,long sleeve,black,long,clothes,6,10,yes,2.9297655559386264,101.68525797645005,2.0
20/10/2015,23:15:42,malay,male,thin,42.0,no,no_kids,,red,casual,brown,long sleeve,,long,blankets,4,8,,2.9433719842825554,101.74666861705832,2.0
20/10/2015,0:04:56,malay,female,moderate,45.0,no,no_kids,big,pink,formal,red,long sleeve,black,long,blankets,3,7,no,2.919387484157582,101.67040713786884,2.0
21/10/2015,2:17:42,indian,,thin,30.0,no,no_kids,,white,casual,black,short_sleeve,white,short,clothes,6,7,no,2.921533519866855,101.67131961907363,
21/10/2015,7:35:52,indian,,fat,44.0,no,no_kids,small,blue,casual,blue,,white,short,clothes,4,8,no,2.9101962434413684,101.67116492270563,1.0
21/10/2015,7:58:48,chinese,,moderate,54.0,no,no_kids,big,,,blue,short_sleeve,,long,clothes,3,7,no,2.965247798028791,101.6639004282254,3.0
21/10/2015,11:21:04,chinese,,thin,43.0,no,no_kids,big,yellow,casual,grey,short_sleeve,white,long,clothes,3,8,no,2.9291606587500163,101.74054252607759,2.0
21/10/2015,11:56:35,malay,male,thin,32.0,no,,,,casual,brown,short_sleeve,blue_jeans,long,clothes,4,8,yes,2.954092424322737,101.68978646753506,
21/10/2015,11:56:35,malay,,,29.0,no,,big,red,casual,grey,short_sleeve,brown,long,clothes,5,8,no,2.957506738452697,101.64308585618816,1.0
21/10/2015,12:01:57,chinese,male,thin,40.0,no,,small,white,casual,red,short_sleeve,,long,clothes,3,9,yes,2.9356345296983406,101.64249924687914,3.0
21/10/2015,12:01:57,chinese,,thin,31.0,no,,big,white,casual,black,short_sleeve,grey,long,clothes,5,8,no,2.9194859950720566,101.64530337047879,3.0
21/10/2015,12:32:17,malay,female,thin,31.0,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,5,10,no,2.9284518604332694,101.67375526699173,2.0
21/10/2015,12:44:01,chinese,male,thin,54.0,no,no_kids,small,white,casual,red,short_sleeve,black,long,,3,8,no,2.9694056229957693,101.65981083797911,2.0
21/10/2015,13:04:37,malay,female,thin,,no,no_kids,big,red,casual,white,long sleeve,black,long,clothes,6,10,no,2.936189793649278,101.72474919994494,1.0
21/10/2015,13:04:37,malay,male,moderate,,no,no_kids,small,white,casual,green,short_sleeve,blue_jeans,long,clothes,5,7,no,2.9601943947769205,101.71750650401597,2.0
21/10/2015,14:18:47,chinese,female,fat,45.0,no,no_kids,big,blue,casual,grey,long sleeve,white,long,clothes,3,10,yes,2.9232781482167627,101.68720353462702,2.0
21/10/2015,14:30:07,malay,,,38.0,yes,toddler,big,white,casual,grey,,black,long,clothes,3,7,no,2.9161701073892,101.65082499434513,1.0
21/10/2015,14:32:50,malay,female,moderate,48.0,yes,young,big,blue,traditional,green,long sleeve,white,long,clothes,5,9,yes,2.9336306435041535,101.71611210776426,1.0
21/10/2015,14:51:37,chinese,female,thin,,no,no_kids,big,black,casual,red,short_sleeve,brown,short,clothes,3,9,no,2.9399777358879544,101.73368492164309,1.0
21/10/2015,15:05:32,malay,female,,42.0,yes,toddler,big,blue,,purple,long sleeve,purple,long,blankets,4,8,,2.9612639503450873,101.63221945321271,1.0
21/10/2015,16:53:36,,,moderate,53.0,no,no_kids,small,white,casual,blue,short_sleeve,yellow,short,clothes,4,9,,2.9429039020341374,101.70075353687464,2.0
21/10/2015,19:35:17,malay,female,fat,40.0,no,no_kids,big,,,brown,long sleeve,brown,long,clothes,6,8,no,2.9704035087083405,101.63122639051271,1.0
21/10/2015,19:35:17,malay,female,moderate,53.0,no,no_kids,big,white,traditional,purple,long sleeve,purple,long,,4,7,yes,2.940293856567764,101.65276890053254,2.0
21/10/2015,19:35:17,indian,male,fat,49.0,no,no_kids,big,black,casual,black,short_sleeve,blue_jeans,long,clothes,3,7,no,2.9068988871372343,101.69818180043778,
21/10/2015,21:13:41,malay,male,thin,52.0,,no_kids,big,black,traditional,,long sleeve,brown,long,clothes,6,10,no,2.9571857863526954,101.72041637126318,
21/10/2015,21:13:41,malay,male,thin,32.0,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,6,8,,2.9052639399811437,101.67675826248544,1.0
21/10/2015,21:13:41,chinese,male,moderate,34.0,,no_kids,big,blue,casual,,short_sleeve,red,short,clothes,5,9,yes,2.906258653969562,101.65787817562972,1.0
21/10/2015,21:13:41,indian,male,thin,35.0,no,no_kids,big,white,formal,white,long sleeve,black,long,clothes,3,7,no,2.916636583260763,101.65400313256774,2.0
22/10/2015,7:31:47,malay,female,moderate,49.0,no,no_kids,big,yellow,traditional,white,long sleeve,white,long,clothes,4,8,no,2.9268652927386904,101.6613881337072,1.0
22/10/2015,9:19:35,malay,female,fat,33.0,,no_kids,big,white,,blue,long sleeve,black,long,clothes,5,7,no,2.9704528041815204,101.67028650779615,3.0
22/10/2015,9:19:35,malay,female,,55.0,no,no_kids,big,blue,formal,grey,long sleeve,black,long,clothes,4,8,no,2.9656889798488297,101.64995189502702,3.0
22/10/2015,9:48:38,chinese,female,,,no,no_kids,big,blue,casual,pink,short_sleeve,black,long,blankets,4,7,no,2.956566257322006,101.63574848012193,
22/10/2015,10:08:57,malay,male,moderate,55.0,no,no_kids,big,blue,casual,white,short_sleeve,yellow,long,clothes,3,8,yes,2.935513584804229,101.62912296102334,3.0
22/10/2015,10:50:38,malay,female,thin,49.0,no,no_kids,big,blue,casual,brown,long sleeve,black,long,clothes,5,9,no,2.9598218060090304,101.74125590839637,
22/10/2015,10:50:38,malay,male,thin,46.0,no,no_kids,big,black,casual,red,short_sleeve,white,long,clothes,3,8,yes,2.905601005901154,101.73928140687428,1.0
22/10/2015,13:14:43,foreigner ,female,moderate,41.0,no,no_kids,big,white,casual,white,short_sleeve,white,long,clothes,5,10,no,2.9572732009303317,101.67105240851389,
22/10/2015,13:17:51,,female,fat,,no,no_kids,big,blue,formal,pink,long sleeve,black,long,clothes,3,7,,2.966717464980102,101.66362363939636,3.0
22/10/2015,13:17:51,malay,male,fat,41.0,no,no_kids,big,,casual,green,short_sleeve,black,long,clothes,3,10,no,2.9317738699961304,101.63994505739731,1.0
22/10/2015,14:38:23,,male,moderate,55.0,no,no_kids,small,,casual,brown,short_sleeve,grey,long,clothes,4,8,yes,2.9490954960279416,101.6319815811598,3.0
22/10/2015,15:10:04,malay,female,moderate,34.0,no,no_kids,small,,casual,red,,purple,long,clothes,4,7,no,2.9370624671578827,101.70953817409622,3.0
22/10/2015,15:42:25,malay,female,fat,40.0,no,no_kids,big,blue,casual,green,long sleeve,black,long,clothes,6,10,no,2.9605874910255405,101.64626146504239,2.0
22/10/2015,18:42:40,indian,male,fat,44.0,no,no_kids,,white,casual,,short_sleeve,grey,short,clothes,5,7,,2.955890825917745,101.71379639014675,1.0
22/10/2015,19:48:07,chinese,male,thin,50.0,yes,baby,big,blue,casual,black,short_sleeve,black,long,clothes,3,10,no,2.9422849862668565,101.69784433361669,2.0
22/10/2015,20:23:30,foreigner ,male,moderate,54.0,no,no_kids,big,blue,casual,black,,black,long,clothes,3,7,no,2.9095293947260705,101.69972233552797,1.0
22/10/2015,20:49:14,chinese,male,thin,,no,no_kids,big,black,casual,black,short_sleeve,blue_jeans,long,clothes,5,8,no,2.9298312587398283,101.73141819115396,3.0
22/10/2015,22:10:13,,male,moderate,32.0,no,no_kids,big,,,green,,brown,short,clothes,3,9,no,2.9250453364886235,101.69688915926707,3.0
22/10/2015,22:52:01,,female,thin,32.0,no,no_kids,big,blue,casual,,short_sleeve,brown,short,clothes,3,9,no,2.932982259255418,101.73244830861498,1.0
22/10/2015,23:18:33,indian,male,fat,47.0,no,no_kids,big,,casual,blue,short_sleeve,black,short,clothes,6,7,no,2.920905790843243,101.6378199464831,1.0
23/10/2015,1:09:08,chinese,female,fat,30.0,yes,toddler,big,red,casual,red,short_sleeve,green,short,clothes,6,10,no,2.955510695464034,101.67746432868645,2.0
23/10/2015,1:31:55,chinese,male,fat,,no,no_kids,big,yellow,casual,brown,short_sleeve,black,long,,3,8,yes,2.9443503327555978,101.63160049763877,3.0
23/10/2015,1:52:36,indian,female,fat,39.0,no,no_kids,big,white,casual,grey,short_sleeve,black,long,,3,10,no,2.9697414473009074,101.73260926675906,1.0
23/10/2015,2:48:52,malay,male,fat,40.0,no,no_kids,big,black,casual,blue,,grey,long,clothes,5,7,no,2.9467823151428925,101.63048987937573,3.0
23/10/2015,4:35:37,indian,male,moderate,,no,no_kids,big,yellow,formal,white,short_sleeve,black,long,clothes,5,8,no,2.9295832497049057,101.74461529673594,3.0
23/10/2015,7:07:53,,female,fat,52.0,yes,baby,big,red,casual,white,short_sleeve,black,long,clothes,5,7,yes,2.9508015710879256,101.64757226442639,3.0
23/10/2015,7:31:00,malay,male,fat,33.0,no,no_kids,big,red,casual,red,long sleeve,brown,short,clothes,3,7,no,2.9353621885246213,101.74318437290296,3.0
23/10/2015,10:27:02,chinese,male,thin,,no,no_kids,big,red,formal,white,short_sleeve,black,long,clothes,5,9,yes,2.9405459693462572,101.63138989540849,1.0
23/10/2015,11:14:22,,male,fat,53.0,yes,baby,big,grey,casual,red,short_sleeve,,long,clothes,3,9,no,2.946495830113448,101.6606522483584,3.0
23/10/2015,11:17:03,malay,female,moderate,53.0,yes,toddler,big,,formal,pink,,black,long,clothes,4,7,no,2.910059250100971,101.67627910952314,2.0
23/10/2015,11:54:36,indian,male,,40.0,no,no_kids,small,green,formal,white,short_sleeve,black,,clothes,3,9,no,2.9422117225000766,101.63049116993886,1.0
23/10/2015,11:59:37,malay,male,moderate,40.0,no,no_kids,big,white,formal,white,short_sleeve,grey,long,clothes,4,10,no,2.942248353884049,101.68912960448425,3.0
23/10/2015,12:00:06,malay,,fat,52.0,no,no_kids,big,blue,,black,long sleeve,black,long,clothes,6,10,no,2.958675927809664,101.67872846154856,3.0
23/10/2015,12:00:06,indian,male,fat,44.0,no,no_kids,big,white,casual,black,short_sleeve,grey,long,,4,10,no,2.9418569108419463,101.71651758656083,
23/10/2015,12:00:06,malay,male,fat,,,no_kids,,black,casual,black,short_sleeve,black,long,clothes,3,8,no,2.9658969535611814,101.67356484438501,1.0
23/10/2015,12:01:53,,male,thin,44.0,no,no_kids,big,,,black,short_sleeve,red,short,,4,8,yes,2.9452271125548015,101.7108931848427,2.0
23/10/2015,12:23:32,malay,female,thin,52.0,no,no_kids,big,blue,casual,,,blue,short,,5,8,,2.9061719946070563,101.72348913772427,2.0
23/10/2015,12:57:44,malay,female,fat,39.0,no,no_kids,big,,casual,black,short_sleeve,black,long,clothes,6,8,no,2.9295450391158253,101.70800115256017,1.0
23/10/2015,15:17:25,malay,female,thin,31.0,no,no_kids,big,white,casual,red,short_sleeve,,long,,3,7,no,2.9361363005846046,101.71181023524252,1.0
23/10/2015,16:06:01,,male,thin,31.0,no,no_kids,big,white,formal,grey,,grey,long,clothes,6,9,no,2.9538092826459086,101.65120133062487,1.0
23/10/2015,16:06:01,,female,fat,40.0,no,no_kids,big,grey,casual,grey,long sleeve,,,clothes,4,9,no,2.949461681191877,101.72948904960154,2.0
23/10/2015,16:11:32,malay,female,thin,28.0,yes,baby,big,white,casual,blue,,black,long,blankets,4,9,,2.9196223232608833,101.71843684976152,1.0
23/10/2015,16:33:34,malay,female,moderate,41.0,no,no_kids,big,green,traditional,blue,long sleeve,blue,long,clothes,4,7,yes,2.9474787800545807,101.74180650113401,2.0
23/10/2015,17:31:48,malay,female,moderate,41.0,yes,toddler,big,white,casual,red,short_sleeve,blue_jeans,long,clothes,6,10,no,2.921348541300298,101.64677603068156,2.0
23/10/2015,17:31:48,malay,,fat,49.0,no,no_kids,big,blue,,,short_sleeve,white,long,clothes,5,9,no,2.9249769388654534,101.65907905335091,1.0
23/10/2015,19:47:39,chinese,female,thin,30.0,no,no_kids,,white,casual,green,short_sleeve,,long,clothes,6,7,no,2.956082644796436,101.71546149235095,2.0
23/10/2015,19:55:14,chinese,male,moderate,48.0,no,no_kids,,blue,,white,short_sleeve,black,,clothes,3,9,no,2.94998702055645,101.6541451161502,1.0
23/10/2015,20:08:58,chinese,,moderate,34.0,,no_kids,big,,casual,white,short_sleeve,blue_jeans,long,clothes,5,7,no,2.963425135456061,101.74197802998012,2.0
23/10/2015,20:39:42,foreigner ,male,thin,,no,no_kids,big,brown,casual,red,,grey,long,,6,9,no,2.9403289726420967,101.70552512066104,2.0
23/10/2015,21:18:54,foreigner ,female,thin,39.0,,young,big,blue,casual,black,short_sleeve,black,long,clothes,3,9,no,2.938166688723168,101.66211668126161,2.0
23/10/2015,21:51:00,malay,female,moderate,,yes,toddler,big,red,casual,blue,long sleeve,black,long,,4,7,no,2.923160208585235,101.66566026974317,2.0
23/10/2015,22:31:34,indian,female,fat,40.0,yes,young,big,red,casual,purple,short_sleeve,,,clothes,4,10,no,2.916494544481765,101.7354933834699,3.0
23/10/2015,22:58:27,chinese,,thin,42.0,,no_kids,big,blue,casual,blue,short_sleeve,brown,long,clothes,5,9,yes,2.963186713167229,101.68324825328523,3.0
23/10/2015,23:38:01,,,fat,,no,no_kids,big,,casual,blue,short_sleeve,black,long,clothes,3,7,no,2.9288330770136883,101.73990224727575,1.0
24/10/2015,0:18:48,chinese,male,fat,36.0,no,no_kids,big,,casual,,short_sleeve,,short,clothes,3,9,yes,2.9186994775534747,101.6941536240137,1.0
24/10/2015,0:38:01,malay,,thin,28.0,yes,baby,big,,casual,red,short_sleeve,grey,long,clothes,3,9,no,2.9069573092901195,101.65115756602619,3.0
24/10/2015,1:31:38,,male,fat,53.0,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,3,7,yes,2.94539452339164,101.70704529374582,3.0
24/10/2015,6:44:22,malay,male,thin,42.0,,no_kids,big,,casual,yellow,,black,long,clothes,4,7,yes,2.943783594315807,101.73165795593881,2.0
24/10/2015,6:56:49,chinese,female,,39.0,no,no_kids,big,red,casual,,short_sleeve,black,long,clothes,6,9,no,2.9726298879546267,101.71911065829215,2.0
24/10/2015,8:51:44,,male,fat,40.0,no,no_kids,big,,casual,white,long sleeve,brown,,clothes,4,10,,2.935676597248002,101.72742565890269,1.0
24/10/2015,9:07:33,indian,female,thin,41.0,no,no_kids,big,green,casual,,short_sleeve,grey,long,,6,9,no,2.9115659828923097,101.70954753016436,3.0
24/10/2015,9:22:05,malay,female,,50.0,no,no_kids,,red,casual,brown,long sleeve,brown,long,blankets,3,7,no,2.939400930007049,101.64959878159846,2.0
24/10/2015,9:23:10,malay,female,,48.0,no,no_kids,big,,casual,red,long sleeve,,long,clothes,6,9,no,2.9711979858593605,101.66862883148393,3.0
24/10/2015,9:23:10,,female,thin,42.0,,no_kids,big,red,casual,green,long sleeve,red,long,clothes,6,8,,2.9461916584556436,101.73272506453648,2.0
24/10/2015,9:24:29,malay,male,,51.0,,no_kids,small,white,casual,blue,,black,long,,6,10,no,2.9385861356688374,101.64213159811847,2.0
24/10/2015,10:30:48,chinese,female,thin,54.0,,no_kids,big,red,,,short_sleeve,brown,short,clothes,6,9,no,2.9604127303552406,101.67038222636448,2.0
24/10/2015,10:30:48,malay,male,thin,50.0,yes,toddler,,black,casual,black,,blue,long,clothes,4,10,no,2.971906763957002,101.7333458116511,1.0
24/10/2015,10:47:32,,female,fat,44.0,no,no_kids,big,blue,casual,,long sleeve,black,long,clothes,5,8,no,2.9628405654864474,101.67074288970521,
24/10/2015,10:59:09,malay,,fat,,no,no_kids,big,blue,casual,blue,,black,long,clothes,4,9,no,2.9561034199029987,101.74550912326676,1.0
24/10/2015,11:12:18,malay,female,moderate,45.0,yes,young,,red,casual,black,short_sleeve,red,long,,4,7,,2.9399593647678155,101.6843272248003,
24/10/2015,11:32:11,malay,male,fat,41.0,yes,young,big,blue,casual,orange,short_sleeve,grey,short,clothes,6,10,,2.9041712059342313,101.71155684692584,1.0
24/10/2015,11:34:26,indian,female,,37.0,no,no_kids,big,red,casual,grey,short_sleeve,brown,short,,6,7,no,2.963192269278442,101.65783291061312,3.0
24/10/2015,12:00:51,indian,,,35.0,no,no_kids,big,black,casual,blue,,black,long,,3,7,no,2.925180030736772,101.68788055055789,2.0
24/10/2015,12:14:54,chinese,male,thin,53.0,,baby,big,blue,,black,short_sleeve,grey,long,blankets,6,7,yes,2.9081870959647103,101.63910625920771,2.0
24/10/2015,12:37:44,chinese,male,moderate,53.0,,,small,white,casual,red,short_sleeve,brown,short,,6,10,no,2.93260031052309,101.6594659130517,1.0
24/10/2015,13:05:01,chinese,male,,51.0,,no_kids,big,black,casual,red,short_sleeve,blue_jeans,long,clothes,6,7,no,2.9315459859953004,101.68238758835396,2.0
24/10/2015,13:30:48,malay,female,,32.0,no,no_kids,big,red,casual,blue,short_sleeve,brown,long,clothes,4,8,yes,2.9714315893088896,101.74051709149266,1.0
24/10/2015,13:37:15,malay,female,thin,52.0,,no_kids,big,,casual,red,short_sleeve,black,long,clothes,5,9,no,2.9129189269718574,101.73319873300798,3.0
