,Date,Time,Race,Gender,Body_Size,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,latitude,longitude,Num_of_Baskets,Binned_Age_Range
23,20/10/2015,13:36:46,chinese,female,thin,no,no_kids,small,white,casual,brown,short_sleeve,black ,long,clothes,3,7,yes,2.951222745121479,101.72352452311414,3.0,"(20, 30]"
24,20/10/2015,12:10:46,chinese,female,moderate,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,5,7,no,2.93940293206022,101.66339333227435,1.0,"(40, 50]"
25,20/10/2015,13:44:03,chinese,female,moderate,no,no_kids,small,orange,casual,black,short_sleeve,black,long,clothes,3,8,no,2.947776712987077,101.69789945253896,3.0,"(40, 50]"
26,20/10/2015,13:47:46,chinese,male,thin,no,no_kids,big,white,casual,black,short_sleeve,brown,long,clothes,6,9,no,2.9662059003919525,101.63468781752812,1.0,"(40, 50]"
27,20/10/2015,14:39:57,malay,male,thin,yes,young,big,red,casual,grey,short_sleeve,white,short,blankets,5,9,yes,2.966805235445467,101.69188599622474,3.0,"(30, 40]"
29,20/10/2015,14:54:19,indian,male,thin,no,no_kids,big,blue,casual,black,short_sleeve,blue_jeans,long,clothes,6,9,no,2.953809463430514,101.68642765765294,1.0,"(40, 50]"
30,20/10/2015,15:26:05,malay,female,fat,no,no_kids,big,purple,casual,white,short_sleeve,black,long,clothes,3,7,no,2.9717033734439675,101.67861694951472,2.0,"(30, 40]"
31,20/10/2015,15:45:51,chinese,male,thin,yes,toddler,big,red,casual,white,short_sleeve,white,short,clothes,5,9,yes,2.9259921467795564,101.72597053495318,2.0,"(30, 40]"
32,20/10/2015,15:52:41,foreigner ,male,moderate,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,8,no,2.9414691503505592,101.70943549905442,1.0,"(30, 40]"
33,20/10/2015,16:01:30,malay,female,fat,no,no_kids,big,purple,casual,purple,long sleeve,black,long,clothes,3,7,no,2.9595008650821577,101.70814219508746,2.0,"(50, 60]"
34,20/10/2015,16:34:06,chinese,male,thin,no,no_kids,big,red,casual,purple,short_sleeve,black,long,clothes,4,7,no,2.93269101171416,101.64327770922908,2.0,"(40, 50]"
35,20/10/2015,18:14:37,malay,female,thin,no,no_kids,small,white,casual,white,short_sleeve,grey,long,clothes,6,10,no,2.9437312992130287,101.73496055358794,1.0,"(40, 50]"
36,20/10/2015,18:34:26,malay,male,fat,no,no_kids,big,blue,formal,white,short_sleeve,brown,long,clothes,4,7,yes,2.932445147554956,101.73653780155033,2.0,"(30, 40]"
37,20/10/2015,18:37:46,chinese,female,thin,no,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no,2.938365035398456,101.70213954753618,2.0,"(30, 40]"
38,20/10/2015,18:48:34,malay,female,moderate,no,no_kids,big,red,formal,orange,long sleeve,black,long,clothes,5,10,no,2.961409415045869,101.69546545320608,3.0,"(40, 50]"
39,20/10/2015,18:57:46,malay,female,fat,no,no_kids,big,red,traditional,green,long sleeve,green,long,clothes,4,9,yes,2.909508314360379,101.7448743202171,2.0,"(30, 40]"
40,20/10/2015,18:57:46,malay,female,fat,no,no_kids,big,red,traditional,brown,long sleeve,brown,long,clothes,5,9,no,2.9203415127723,101.71277925338664,3.0,"(30, 40]"
41,20/10/2015,20:09:18,malay,female,fat,no,no_kids,big,blue,casual,grey,long sleeve,black,long,clothes,4,8,no,2.938475942730551,101.68528132661366,1.0,"(30, 40]"
42,20/10/2015,20:21:03,malay,female,moderate,no,no_kids,big,white,casual,black,short_sleeve,blue_jeans,long,clothes,4,10,yes,2.920208022454035,101.71416112736084,1.0,"(30, 40]"
43,20/10/2015,20:21:03,malay,female,fat,no,no_kids,big,blue,casual,blue,short_sleeve,red,long,clothes,6,9,no,2.9110344559313464,101.74599851569349,2.0,"(50, 60]"
44,20/10/2015,20:21:03,foreigner ,female,moderate,no,no_kids,big,white,formal,grey,long sleeve,black,long,blankets,3,7,no,2.962275697691138,101.69189512275815,1.0,"(40, 50]"
45,20/10/2015,20:32:37,malay,female,moderate,no,no_kids,big,white,casual,red,long sleeve,red,long,clothes,6,8,no,2.93284107765839,101.66246162266802,2.0,"(50, 60]"
47,20/10/2015,20:48:32,malay,female,fat,no,no_kids,big,blue,casual,blue,long sleeve,brown,long,clothes,3,9,yes,2.922380928529813,101.6878639897524,1.0,"(20, 30]"
48,20/10/2015,21:39:30,indian,male,moderate,no,no_kids,big,red,casual,white,short_sleeve,black,short,clothes,4,8,no,2.919551167537211,101.66847595815864,3.0,"(40, 50]"
49,20/10/2015,21:44:10,indian,male,fat,no,no_kids,big,red,casual,black,short_sleeve,blue,short,clothes,5,10,no,2.916453311782591,101.74600870695012,2.0,"(40, 50]"
51,20/10/2015,22:04:52,indian,female,fat,no,no_kids,big,white,traditional,red,short_sleeve,black,long,clothes,5,7,no,2.910017559733744,101.67191341852248,3.0,"(40, 50]"
52,20/10/2015,22:04:52,foreigner ,male,moderate,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,3,9,no,2.965581773108946,101.63848872300444,3.0,"(50, 60]"
53,20/10/2015,22:10:28,foreigner ,male,moderate,no,no_kids,big,white,casual,white,short_sleeve,black,long,clothes,3,8,no,2.914720245786607,101.70268255175937,1.0,"(30, 40]"
54,20/10/2015,22:12:39,chinese,female,thin,no,no_kids,big,blue,casual,blue,long sleeve,yellow,short,clothes,6,7,no,2.9467068501976987,101.72793500185514,3.0,"(30, 40]"
55,20/10/2015,22:18:01,malay,female,thin,yes,young,big,white,formal,brown,long sleeve,blue,long,clothes,6,8,no,2.9685791564973507,101.64531751688234,3.0,"(50, 60]"
56,20/10/2015,22:20:42,malay,male,thin,yes,toddler,big,black,casual,white,short_sleeve,blue_jeans,long,clothes,3,10,no,2.92128749551552,101.67919261955616,1.0,"(20, 30]"
57,20/10/2015,22:24:54,indian,male,fat,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,2.9032085747799465,101.63675340321336,3.0,"(40, 50]"
58,20/10/2015,22:24:54,indian,female,fat,yes,young,small,white,casual,brown,short_sleeve,blue,long,clothes,5,8,no,2.918987500858779,101.68555772986184,1.0,"(20, 30]"
59,20/10/2015,22:37:12,malay,female,thin,yes,toddler,big,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no,2.9207383456459493,101.73249814130584,1.0,"(40, 50]"
60,20/10/2015,22:52:52,malay,female,thin,no,no_kids,small,black,casual,black,short_sleeve,grey,long,clothes,3,9,no,2.92582691010156,101.73818691959198,2.0,"(50, 60]"
61,20/10/2015,22:54:56,malay,male,thin,yes,toddler,big,white,casual,white,short_sleeve,blue_jeans,long,clothes,4,10,no,2.9713276403801143,101.68185066957288,1.0,"(20, 30]"
62,20/10/2015,22:59:55,indian,female,moderate,no,baby,big,white,casual,blue,short_sleeve,brown,short,clothes,3,9,no,2.9190320940128185,101.66307884456914,1.0,"(50, 60]"
63,20/10/2015,23:08:44,indian,male,thin,no,no_kids,small,white,casual,white,short_sleeve,black,long,clothes,5,10,no,2.957446651765785,101.66090537596276,3.0,"(30, 40]"
64,20/10/2015,23:08:44,indian,male,moderate,no,no_kids,small,white,formal,blue,long sleeve,black,long,clothes,6,10,yes,2.9297655559386264,101.68525797645005,2.0,"(40, 50]"
65,20/10/2015,23:15:42,malay,male,thin,no,no_kids,big,red,casual,brown,long sleeve,black,long,blankets,4,8,no,2.9433719842825554,101.74666861705832,2.0,"(40, 50]"
66,20/10/2015,0:04:56,malay,female,moderate,no,no_kids,big,pink,formal,red,long sleeve,black,long,blankets,3,7,no,2.919387484157582,101.67040713786884,2.0,"(40, 50]"
67,21/10/2015,2:17:42,indian,female,thin,no,no_kids,big,white,casual,black,short_sleeve,white,short,clothes,6,7,no,2.921533519866855,101.67131961907364,1.0,"(20, 30]"
68,21/10/2015,7:35:52,indian,female,fat,no,no_kids,small,blue,casual,blue,short_sleeve,white,short,clothes,4,8,no,2.9101962434413684,101.67116492270564,1.0,"(40, 50]"
69,21/10/2015,7:58:48,chinese,female,moderate,no,no_kids,big,white,casual,blue,short_sleeve,black,long,clothes,3,7,no,2.965247798028791,101.6639004282254,3.0,"(50, 60]"
70,21/10/2015,11:21:04,chinese,female,thin,no,no_kids,big,yellow,casual,grey,short_sleeve,white,long,clothes,3,8,no,2.9291606587500163,101.7405425260776,2.0,"(40, 50]"
71,21/10/2015,11:56:35,malay,male,thin,no,no_kids,big,white,casual,brown,short_sleeve,blue_jeans,long,clothes,4,8,yes,2.954092424322737,101.68978646753506,1.0,"(30, 40]"
72,21/10/2015,11:56:35,malay,female,moderate,no,no_kids,big,red,casual,grey,short_sleeve,brown,long,clothes,5,8,no,2.957506738452697,101.64308585618816,1.0,"(20, 30]"
73,21/10/2015,12:01:57,chinese,male,thin,no,no_kids,small,white,casual,red,short_sleeve,black,long,clothes,3,9,yes,2.9356345296983406,101.64249924687914,3.0,"(30, 40]"
74,21/10/2015,12:01:57,chinese,female,thin,no,no_kids,big,white,casual,black,short_sleeve,grey,long,clothes,5,8,no,2.9194859950720566,101.6453033704788,3.0,"(30, 40]"
75,21/10/2015,12:32:17,malay,female,thin,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,5,10,no,2.928451860433269,101.67375526699172,2.0,"(30, 40]"
76,21/10/2015,12:44:01,chinese,male,thin,no,no_kids,small,white,casual,red,short_sleeve,black,long,clothes,3,8,no,2.9694056229957693,101.65981083797912,2.0,"(50, 60]"
79,21/10/2015,14:18:47,chinese,female,fat,no,no_kids,big,blue,casual,grey,long sleeve,white,long,clothes,3,10,yes,2.9232781482167627,101.68720353462702,2.0,"(40, 50]"
80,21/10/2015,14:30:07,malay,female,moderate,yes,toddler,big,white,casual,grey,short_sleeve,black,long,clothes,3,7,no,2.9161701073892,101.65082499434511,1.0,"(30, 40]"
81,21/10/2015,14:32:50,malay,female,moderate,yes,young,big,blue,traditional,green,long sleeve,white,long,clothes,5,9,yes,2.933630643504153,101.71611210776426,1.0,"(40, 50]"
83,21/10/2015,15:05:32,malay,female,moderate,yes,toddler,big,blue,casual,purple,long sleeve,purple,long,blankets,4,8,no,2.9612639503450877,101.63221945321273,1.0,"(40, 50]"
84,21/10/2015,16:53:36,malay,female,moderate,no,no_kids,small,white,casual,blue,short_sleeve,yellow,short,clothes,4,9,no,2.942903902034137,101.70075353687464,2.0,"(50, 60]"
85,21/10/2015,19:35:17,malay,female,fat,no,no_kids,big,white,casual,brown,long sleeve,brown,long,clothes,6,8,no,2.9704035087083405,101.63122639051272,1.0,"(30, 40]"
86,21/10/2015,19:35:17,malay,female,moderate,no,no_kids,big,white,traditional,purple,long sleeve,purple,long,clothes,4,7,yes,2.940293856567764,101.65276890053254,2.0,"(50, 60]"
87,21/10/2015,19:35:17,indian,male,fat,no,no_kids,big,black,casual,black,short_sleeve,blue_jeans,long,clothes,3,7,no,2.9068988871372343,101.69818180043778,1.0,"(40, 50]"
88,21/10/2015,21:13:41,malay,male,thin,no,no_kids,big,black,traditional,white,long sleeve,brown,long,clothes,6,10,no,2.957185786352696,101.72041637126318,1.0,"(50, 60]"
89,21/10/2015,21:13:41,malay,male,thin,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,6,8,no,2.905263939981144,101.67675826248544,1.0,"(30, 40]"
90,21/10/2015,21:13:41,chinese,male,moderate,no,no_kids,big,blue,casual,white,short_sleeve,red,short,clothes,5,9,yes,2.906258653969562,101.65787817562972,1.0,"(30, 40]"
91,21/10/2015,21:13:41,indian,male,thin,no,no_kids,big,white,formal,white,long sleeve,black,long,clothes,3,7,no,2.916636583260763,101.65400313256774,2.0,"(30, 40]"
92,22/10/2015,7:31:47,malay,female,moderate,no,no_kids,big,yellow,traditional,white,long sleeve,white,long,clothes,4,8,no,2.9268652927386904,101.6613881337072,1.0,"(40, 50]"
93,22/10/2015,9:19:35,malay,female,fat,no,no_kids,big,white,casual,blue,long sleeve,black,long,clothes,5,7,no,2.9704528041815204,101.67028650779616,3.0,"(30, 40]"
94,22/10/2015,9:19:35,malay,female,moderate,no,no_kids,big,blue,formal,grey,long sleeve,black,long,clothes,4,8,no,2.9656889798488297,101.64995189502702,3.0,"(50, 60]"
96,22/10/2015,10:08:57,malay,male,moderate,no,no_kids,big,blue,casual,white,short_sleeve,yellow,long,clothes,3,8,yes,2.935513584804229,101.62912296102334,3.0,"(50, 60]"
97,22/10/2015,10:50:38,malay,female,thin,no,no_kids,big,blue,casual,brown,long sleeve,black,long,clothes,5,9,no,2.9598218060090304,101.74125590839635,1.0,"(40, 50]"
98,22/10/2015,10:50:38,malay,male,thin,no,no_kids,big,black,casual,red,short_sleeve,white,long,clothes,3,8,yes,2.905601005901154,101.73928140687428,1.0,"(40, 50]"
99,22/10/2015,13:14:43,foreigner ,female,moderate,no,no_kids,big,white,casual,white,short_sleeve,white,long,clothes,5,10,no,2.957273200930332,101.67105240851387,1.0,"(40, 50]"
101,22/10/2015,13:17:51,malay,male,fat,no,no_kids,big,white,casual,green,short_sleeve,black,long,clothes,3,10,no,2.9317738699961304,101.63994505739733,1.0,"(40, 50]"
102,22/10/2015,14:38:23,malay,male,moderate,no,no_kids,small,white,casual,brown,short_sleeve,grey,long,clothes,4,8,yes,2.9490954960279416,101.6319815811598,3.0,"(50, 60]"
103,22/10/2015,15:10:04,malay,female,moderate,no,no_kids,small,white,casual,red,short_sleeve,purple,long,clothes,4,7,no,2.9370624671578827,101.70953817409622,3.0,"(30, 40]"
104,22/10/2015,15:42:25,malay,female,fat,no,no_kids,big,blue,casual,green,long sleeve,black,long,clothes,6,10,no,2.9605874910255405,101.6462614650424,2.0,"(30, 40]"
105,22/10/2015,18:42:40,indian,male,fat,no,no_kids,big,white,casual,white,short_sleeve,grey,short,clothes,5,7,no,2.955890825917745,101.71379639014675,1.0,"(40, 50]"
106,22/10/2015,19:48:07,chinese,male,thin,yes,baby,big,blue,casual,black,short_sleeve,black,long,clothes,3,10,no,2.9422849862668565,101.69784433361669,2.0,"(40, 50]"
107,22/10/2015,20:23:30,foreigner ,male,moderate,no,no_kids,big,blue,casual,black,short_sleeve,black,long,clothes,3,7,no,2.9095293947260705,101.69972233552797,1.0,"(50, 60]"
109,22/10/2015,22:10:13,malay,male,moderate,no,no_kids,big,white,casual,green,short_sleeve,brown,short,clothes,3,9,no,2.9250453364886235,101.69688915926707,3.0,"(30, 40]"
110,22/10/2015,22:52:01,malay,female,thin,no,no_kids,big,blue,casual,white,short_sleeve,brown,short,clothes,3,9,no,2.932982259255418,101.73244830861498,1.0,"(30, 40]"
111,22/10/2015,23:18:33,indian,male,fat,no,no_kids,big,white,casual,blue,short_sleeve,black,short,clothes,6,7,no,2.920905790843243,101.6378199464831,1.0,"(40, 50]"
112,23/10/2015,1:09:08,chinese,female,fat,yes,toddler,big,red,casual,red,short_sleeve,green,short,clothes,6,10,no,2.955510695464034,101.67746432868644,2.0,"(20, 30]"
114,23/10/2015,1:52:36,indian,female,fat,no,no_kids,big,white,casual,grey,short_sleeve,black,long,clothes,3,10,no,2.9697414473009074,101.73260926675906,1.0,"(30, 40]"
115,23/10/2015,2:48:52,malay,male,fat,no,no_kids,big,black,casual,blue,short_sleeve,grey,long,clothes,5,7,no,2.9467823151428925,101.63048987937572,3.0,"(30, 40]"
117,23/10/2015,7:07:53,malay,female,fat,yes,baby,big,red,casual,white,short_sleeve,black,long,clothes,5,7,yes,2.9508015710879256,101.6475722644264,3.0,"(50, 60]"
118,23/10/2015,7:31:00,malay,male,fat,no,no_kids,big,red,casual,red,long sleeve,brown,short,clothes,3,7,no,2.9353621885246213,101.74318437290296,3.0,"(30, 40]"
120,23/10/2015,11:14:22,malay,male,fat,yes,baby,big,grey,casual,red,short_sleeve,black,long,clothes,3,9,no,2.946495830113448,101.6606522483584,3.0,"(50, 60]"
121,23/10/2015,11:17:03,malay,female,moderate,yes,toddler,big,white,formal,pink,short_sleeve,black,long,clothes,4,7,no,2.910059250100971,101.67627910952314,2.0,"(50, 60]"
122,23/10/2015,11:54:36,indian,male,moderate,no,no_kids,small,green,formal,white,short_sleeve,black,long,clothes,3,9,no,2.942211722500077,101.63049116993886,1.0,"(30, 40]"
123,23/10/2015,11:59:37,malay,male,moderate,no,no_kids,big,white,formal,white,short_sleeve,grey,long,clothes,4,10,no,2.942248353884049,101.68912960448424,3.0,"(30, 40]"
124,23/10/2015,12:00:06,malay,female,fat,no,no_kids,big,blue,casual,black,long sleeve,black,long,clothes,6,10,no,2.958675927809664,101.67872846154856,3.0,"(50, 60]"
125,23/10/2015,12:00:06,indian,male,fat,no,no_kids,big,white,casual,black,short_sleeve,grey,long,clothes,4,10,no,2.9418569108419463,101.71651758656084,1.0,"(40, 50]"
127,23/10/2015,12:01:53,malay,male,thin,no,no_kids,big,white,casual,black,short_sleeve,red,short,clothes,4,8,yes,2.945227112554801,101.7108931848427,2.0,"(40, 50]"
128,23/10/2015,12:23:32,malay,female,thin,no,no_kids,big,blue,casual,white,short_sleeve,blue,short,clothes,5,8,no,2.9061719946070563,101.72348913772429,2.0,"(50, 60]"
129,23/10/2015,12:57:44,malay,female,fat,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,6,8,no,2.9295450391158253,101.70800115256016,1.0,"(30, 40]"
130,23/10/2015,15:17:25,malay,female,thin,no,no_kids,big,white,casual,red,short_sleeve,black,long,clothes,3,7,no,2.9361363005846046,101.71181023524252,1.0,"(30, 40]"
131,23/10/2015,16:06:01,malay,male,thin,no,no_kids,big,white,formal,grey,short_sleeve,grey,long,clothes,6,9,no,2.9538092826459086,101.65120133062489,1.0,"(30, 40]"
132,23/10/2015,16:06:01,malay,female,fat,no,no_kids,big,grey,casual,grey,long sleeve,black,long,clothes,4,9,no,2.949461681191877,101.72948904960154,2.0,"(30, 40]"
133,23/10/2015,16:11:32,malay,female,thin,yes,baby,big,white,casual,blue,short_sleeve,black,long,blankets,4,9,no,2.919622323260884,101.71843684976152,1.0,"(20, 30]"
134,23/10/2015,16:33:34,malay,female,moderate,no,no_kids,big,green,traditional,blue,long sleeve,blue,long,clothes,4,7,yes,2.9474787800545807,101.741806501134,2.0,"(40, 50]"
135,23/10/2015,17:31:48,malay,female,moderate,yes,toddler,big,white,casual,red,short_sleeve,blue_jeans,long,clothes,6,10,no,2.921348541300298,101.64677603068156,2.0,"(40, 50]"
136,23/10/2015,17:31:48,malay,female,fat,no,no_kids,big,blue,casual,white,short_sleeve,white,long,clothes,5,9,no,2.9249769388654534,101.65907905335092,1.0,"(40, 50]"
137,23/10/2015,19:47:39,chinese,female,thin,no,no_kids,big,white,casual,green,short_sleeve,black,long,clothes,6,7,no,2.956082644796436,101.71546149235095,2.0,"(20, 30]"
138,23/10/2015,19:55:14,chinese,male,moderate,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,3,9,no,2.94998702055645,101.6541451161502,1.0,"(40, 50]"
139,23/10/2015,20:08:58,chinese,female,moderate,no,no_kids,big,white,casual,white,short_sleeve,blue_jeans,long,clothes,5,7,no,2.963425135456061,101.74197802998012,2.0,"(30, 40]"
141,23/10/2015,21:18:54,foreigner ,female,thin,no,young,big,blue,casual,black,short_sleeve,black,long,clothes,3,9,no,2.938166688723168,101.6621166812616,2.0,"(30, 40]"
143,23/10/2015,22:31:34,indian,female,fat,yes,young,big,red,casual,purple,short_sleeve,black,long,clothes,4,10,no,2.916494544481765,101.7354933834699,3.0,"(30, 40]"
144,23/10/2015,22:58:27,chinese,female,thin,no,no_kids,big,blue,casual,blue,short_sleeve,brown,long,clothes,5,9,yes,2.963186713167229,101.68324825328524,3.0,"(40, 50]"
146,24/10/2015,0:18:48,chinese,male,fat,no,no_kids,big,white,casual,white,short_sleeve,black,short,clothes,3,9,yes,2.9186994775534747,101.6941536240137,1.0,"(30, 40]"
147,24/10/2015,0:38:01,malay,female,thin,yes,baby,big,white,casual,red,short_sleeve,grey,long,clothes,3,9,no,2.9069573092901195,101.6511575660262,3.0,"(20, 30]"
148,24/10/2015,1:31:38,malay,male,fat,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,3,7,yes,2.94539452339164,101.70704529374582,3.0,"(50, 60]"
149,24/10/2015,6:44:22,malay,male,thin,no,no_kids,big,white,casual,yellow,short_sleeve,black,long,clothes,4,7,yes,2.943783594315807,101.7316579559388,2.0,"(40, 50]"
150,24/10/2015,6:56:49,chinese,female,moderate,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,6,9,no,2.9726298879546267,101.71911065829217,2.0,"(30, 40]"
151,24/10/2015,8:51:44,malay,male,fat,no,no_kids,big,white,casual,white,long sleeve,brown,long,clothes,4,10,no,2.935676597248002,101.72742565890267,1.0,"(30, 40]"
152,24/10/2015,9:07:33,indian,female,thin,no,no_kids,big,green,casual,white,short_sleeve,grey,long,clothes,6,9,no,2.9115659828923097,101.70954753016436,3.0,"(40, 50]"
153,24/10/2015,9:22:05,malay,female,moderate,no,no_kids,big,red,casual,brown,long sleeve,brown,long,blankets,3,7,no,2.939400930007049,101.64959878159846,2.0,"(40, 50]"
154,24/10/2015,9:23:10,malay,female,moderate,no,no_kids,big,white,casual,red,long sleeve,black,long,clothes,6,9,no,2.9711979858593605,101.66862883148391,3.0,"(40, 50]"
155,24/10/2015,9:23:10,malay,female,thin,no,no_kids,big,red,casual,green,long sleeve,red,long,clothes,6,8,no,2.946191658455644,101.73272506453648,2.0,"(40, 50]"
156,24/10/2015,9:24:29,malay,male,moderate,no,no_kids,small,white,casual,blue,short_sleeve,black,long,clothes,6,10,no,2.9385861356688374,101.64213159811848,2.0,"(50, 60]"
157,24/10/2015,10:30:48,chinese,female,thin,no,no_kids,big,red,casual,white,short_sleeve,brown,short,clothes,6,9,no,2.960412730355241,101.67038222636448,2.0,"(50, 60]"
158,24/10/2015,10:30:48,malay,male,thin,yes,toddler,big,black,casual,black,short_sleeve,blue,long,clothes,4,10,no,2.971906763957002,101.7333458116511,1.0,"(40, 50]"
159,24/10/2015,10:47:32,malay,female,fat,no,no_kids,big,blue,casual,white,long sleeve,black,long,clothes,5,8,no,2.962840565486448,101.6707428897052,1.0,"(40, 50]"
161,24/10/2015,11:12:18,malay,female,moderate,yes,young,big,red,casual,black,short_sleeve,red,long,clothes,4,7,no,2.9399593647678155,101.6843272248003,1.0,"(40, 50]"
162,24/10/2015,11:32:11,malay,male,fat,yes,young,big,blue,casual,orange,short_sleeve,grey,short,clothes,6,10,no,2.9041712059342317,101.71155684692584,1.0,"(40, 50]"
163,24/10/2015,11:34:26,indian,female,moderate,no,no_kids,big,red,casual,grey,short_sleeve,brown,short,clothes,6,7,no,2.963192269278442,101.65783291061312,3.0,"(30, 40]"
164,24/10/2015,12:00:51,indian,female,moderate,no,no_kids,big,black,casual,blue,short_sleeve,black,long,clothes,3,7,no,2.925180030736772,101.68788055055788,2.0,"(30, 40]"
165,24/10/2015,12:14:54,chinese,male,thin,no,baby,big,blue,casual,black,short_sleeve,grey,long,blankets,6,7,yes,2.9081870959647103,101.63910625920772,2.0,"(50, 60]"
166,24/10/2015,12:37:44,chinese,male,moderate,no,no_kids,small,white,casual,red,short_sleeve,brown,short,clothes,6,10,no,2.93260031052309,101.6594659130517,1.0,"(50, 60]"
167,24/10/2015,13:05:01,chinese,male,moderate,no,no_kids,big,black,casual,red,short_sleeve,blue_jeans,long,clothes,6,7,no,2.9315459859953004,101.68238758835396,2.0,"(50, 60]"
168,24/10/2015,13:30:48,malay,female,moderate,no,no_kids,big,red,casual,blue,short_sleeve,brown,long,clothes,4,8,yes,2.9714315893088896,101.74051709149266,1.0,"(30, 40]"
