Date,Time,Race,Gender,Body_Size,Age_Range,With_Kids,Kids_Category,Basket_Size,Basket_colour,Attire,Shirt_Colour,shirt_type,Pants_Colour,pants_type,Wash_Item,Washer_No,Dryer_No,Spectacles,TimeSpent_minutes,buyDrinks,TotalSpent_RM,latitude,longitude,Num_of_Baskets
20/10/2015,11:27:57,,male,moderate,53,yes,baby,big,pink,formal,red,long sleeve,black,long,clothes,5,9,no,15,,19,2.934433738,101.7258593,1
20/10/2015,11:28:43,malay,female,fat,38,yes,young,big,white,casual,red,,blue  ,long,blankets,3,7,,16,2,,2.967766774,101.6855821,1
20/10/2015,13:36:46,chinese,female,thin,29,no,,small,white,casual,brown,short_sleeve,black ,long,,3,7,yes,54,3,10,2.951222745,101.7235245,3
20/10/2015,12:10:46,chinese,female,moderate,44,no,no_kids,big,white,casual,,short_sleeve,,long,clothes,5,7,no,30,,20,2.939402932,101.6633933,1
20/10/2015,13:44:03,chinese,female,moderate,42,,no_kids,small,orange,casual,black,short_sleeve,black,long,clothes,3,8,no,22,2,13,2.947776713,101.6978995,3
20/10/2015,13:47:46,chinese,male,thin,41,no,no_kids,big,white,,black,,brown,long,clothes,6,9,no,50,3,18,2.9662059,101.6346878,1
20/10/2015,14:39:57,,male,thin,36,yes,young,,red,,grey,,white,short,blankets,5,9,yes,20,0,13,2.966805235,101.691886,3
20/10/2015,14:54:19,indian,male,fat,,no,no_kids,big,,,black,,blue_jeans,long,,4,10,no,60,3,19,2.904241872,101.6693722,2
20/10/2015,14:54:19,indian,male,thin,42,,no_kids,big,blue,,black,short_sleeve,blue_jeans,long,clothes,6,9,no,34,3,12,2.953809463,101.6864277,
20/10/2015,15:26:05,malay,female,fat,32,no,no_kids,big,purple,,,,black,long,clothes,3,7,no,58,0,10,2.971703373,101.6786169,2
20/10/2015,15:45:51,chinese,male,thin,40,yes,toddler,big,red,casual,,short_sleeve,white,short,clothes,5,9,yes,54,2,18,2.925992147,101.7259705,2
20/10/2015,15:52:41,foreigner ,male,moderate,39,no,no_kids,big,blue,casual,black,short_sleeve,,long,,3,8,no,43,5,17,2.94146915,101.7094355,
20/10/2015,16:01:30,,female,fat,55,no,no_kids,big,purple,casual,purple,long sleeve,black,long,clothes,3,7,no,58,2,11,2.959500865,101.7081422,2
20/10/2015,16:34:06,chinese,male,thin,46,no,no_kids,big,red,,purple,short_sleeve,black,,clothes,4,7,no,56,1,15,2.932691012,101.6432777,2
20/10/2015,18:14:37,malay,female,thin,46,no,no_kids,small,white,casual,white,,grey,,,6,10,no,16,1,20,2.943731299,101.7349606,1
20/10/2015,18:34:26,malay,male,fat,35,no,no_kids,big,blue,formal,white,short_sleeve,brown,,clothes,4,7,yes,41,1,17,2.932445148,101.7365378,2
20/10/2015,18:37:46,chinese,female,thin,35,,no_kids,small,green,casual,grey,short_sleeve,grey,short,clothes,5,9,no,31,3,9,2.938365035,101.7021395,2
20/10/2015,18:48:34,malay,female,,41,no,,big,red,formal,orange,long sleeve,black,long,clothes,5,10,no,38,5,9,2.961409415,101.6954655,3
20/10/2015,18:57:46,malay,female,fat,31,,no_kids,big,red,traditional,green,long sleeve,green,long,clothes,4,9,yes,51,4,18,2.909508314,101.7448743,2
20/10/2015,18:57:46,malay,female,fat,34,no,no_kids,big,red,traditional,brown,long sleeve,brown,long,clothes,5,9,,23,1,18,2.920341513,101.7127793,3
20/10/2015,20:09:18,malay,female,fat,36,no,no_kids,big,blue,casual,grey,long sleeve,black,long,,4,8,no,37,5,12,2.938475943,101.6852813,1
20/10/2015,20:21:03,malay,,,33,no,,big,,casual,black,short_sleeve,blue_jeans,long,clothes,4,10,yes,15,0,14,2.920208022,101.7141611,1
20/10/2015,20:21:03,malay,,fat,51,no,no_kids,big,blue,casual,blue,short_sleeve,red,long,clothes,6,9,no,60,2,18,2.911034456,101.7459985,2
20/10/2015,20:21:03,foreigner ,female,moderate,46,no,no_kids,,,formal,grey,long sleeve,black,long,blankets,3,7,no,53,2,11,2.962275698,101.6918951,1
20/10/2015,20:32:37,,female,moderate,51,no,no_kids,big,,casual,red,long sleeve,red,long,clothes,6,8,no,35,5,21,2.932841078,101.6624616,2
20/10/2015,20:44:46,indian,male,fat,,no,no_kids,big,,casual,red,short_sleeve,black,short,clothes,5,7,no,50,5,14,2.938229596,101.7328228,1
20/10/2015,20:48:32,malay,,fat,28,no,no_kids,big,blue,casual,blue,long sleeve,brown,long,clothes,3,9,yes,39,2,11,2.922380929,101.687864,1
20/10/2015,21:39:30,indian,male,moderate,49,no,no_kids,big,red,casual,,short_sleeve,,short,clothes,4,8,no,31,3,14,2.919551168,101.668476,3
20/10/2015,21:44:10,indian,male,fat,48,no,no_kids,big,red,,black,short_sleeve,blue,short,clothes,5,10,,32,5,11,2.916453312,101.7460087,2
20/10/2015,21:05:59,,female,fat,,yes,toddler,big,orange,casual,black,short_sleeve,black,long,blankets,5,9,no,24,1,16,2.943119223,101.7154266,2
20/10/2015,22:04:52,indian,female,fat,42,no,no_kids,,white,traditional,red,short_sleeve,black,long,clothes,5,7,no,55,4,15,2.91001756,101.6719134,3
20/10/2015,22:04:52,foreigner ,male,moderate,54,no,no_kids,big,white,casual,white,,black,long,clothes,3,9,no,20,4,16,2.965581773,101.6384887,3
20/10/2015,22:10:28,foreigner ,male,,38,no,,big,,casual,,short_sleeve,black,long,clothes,3,8,no,40,5,14,2.914720246,101.7026826,1
20/10/2015,22:12:39,chinese,female,thin,39,,no_kids,big,blue,casual,blue,long sleeve,yellow,short,clothes,6,7,no,15,2,13,2.94670685,101.727935,3
20/10/2015,22:18:01,malay,,thin,53,yes,young,big,white,formal,brown,long sleeve,blue,long,clothes,6,8,no,43,4,16,2.968579156,101.6453175,3
20/10/2015,22:20:42,malay,male,thin,29,yes,toddler,big,black,,white,short_sleeve,blue_jeans,long,clothes,3,10,,31,0,18,2.921287496,101.6791926,1
20/10/2015,22:24:54,indian,male,fat,43,no,no_kids,big,blue,casual,white,short_sleeve,black,long,clothes,6,10,no,36,0,11,2.903208575,101.6367534,3
20/10/2015,22:24:54,indian,female,fat,29,yes,young,small,white,,brown,short_sleeve,blue,long,clothes,5,8,no,56,4,21,2.918987501,101.6855577,1
20/10/2015,22:37:12,malay,female,thin,50,yes,toddler,big,black,casual,grey,short_sleeve,grey,long,clothes,3,8,no,44,0,14,2.920738346,101.7324981,1
20/10/2015,22:52:52,malay,,thin,51,no,no_kids,small,black,casual,black,short_sleeve,grey,long,,3,9,no,33,5,15,2.92582691,101.7381869,2
20/10/2015,22:54:56,malay,male,thin,28,yes,toddler,big,white,casual,white,short_sleeve,blue_jeans,long,clothes,4,10,no,60,3,16,2.97132764,101.6818507,
20/10/2015,22:59:55,indian,female,moderate,55,,baby,,white,,blue,short_sleeve,brown,short,clothes,3,9,no,60,5,14,2.919032094,101.6630788,1
20/10/2015,23:08:44,indian,male,thin,33,no,no_kids,small,,casual,white,short_sleeve,black,long,,5,10,no,27,0,8,2.957446652,101.6609054,3
20/10/2015,23:08:44,indian,male,moderate,49,,no_kids,small,white,formal,blue,long sleeve,black,long,clothes,6,10,yes,38,3,21,2.929765556,101.685258,2
20/10/2015,23:15:42,malay,male,thin,42,no,no_kids,,red,casual,brown,long sleeve,,long,blankets,4,8,,24,3,19,2.943371984,101.7466686,2
20/10/2015,0:04:56,malay,female,moderate,45,no,no_kids,big,pink,formal,red,long sleeve,black,long,blankets,3,7,no,26,2,16,2.919387484,101.6704071,2
21/10/2015,2:17:42,indian,,thin,30,no,no_kids,,white,casual,black,short_sleeve,white,short,clothes,6,7,no,13,2,13,2.92153352,101.6713196,
21/10/2015,7:35:52,indian,,fat,44,no,no_kids,small,blue,casual,blue,,white,short,clothes,4,8,no,17,3,10,2.910196243,101.6711649,1
21/10/2015,7:58:48,chinese,,moderate,54,no,no_kids,big,,,blue,short_sleeve,,long,clothes,3,7,no,53,0,14,2.965247798,101.6639004,3
21/10/2015,11:21:04,chinese,,thin,43,no,no_kids,big,yellow,casual,grey,short_sleeve,white,long,clothes,3,8,no,11,3,18,2.929160659,101.7405425,2
21/10/2015,11:56:35,malay,male,thin,32,no,,,,casual,brown,short_sleeve,blue_jeans,long,clothes,4,8,yes,12,3,9,2.954092424,101.6897865,
21/10/2015,11:56:35,malay,,,29,no,,big,red,casual,grey,short_sleeve,brown,long,clothes,5,8,no,41,5,16,2.957506738,101.6430859,1
21/10/2015,12:01:57,chinese,male,thin,40,no,,small,white,casual,red,short_sleeve,,long,clothes,3,9,yes,49,0,21,2.93563453,101.6424992,3
21/10/2015,12:01:57,chinese,,thin,31,no,,big,white,casual,black,short_sleeve,grey,long,clothes,5,8,no,25,1,10,2.919485995,101.6453034,3
21/10/2015,12:32:17,malay,female,thin,31,no,no_kids,big,red,casual,blue,long sleeve,black,long,clothes,5,10,no,27,1,7,2.92845186,101.6737553,2
21/10/2015,12:44:01,chinese,male,thin,54,no,no_kids,small,white,casual,red,short_sleeve,black,long,,3,8,no,15,0,11,2.969405623,101.6598108,2
21/10/2015,13:04:37,malay,female,thin,,no,no_kids,big,red,casual,white,long sleeve,black,long,clothes,6,10,no,60,2,21,2.936189794,101.7247492,1
21/10/2015,13:04:37,malay,male,moderate,,no,no_kids,small,white,casual,green,short_sleeve,blue_jeans,long,clothes,5,7,no,54,4,21,2.960194395,101.7175065,2
21/10/2015,14:18:47,chinese,female,fat,45,no,no_kids,big,blue,casual,grey,long sleeve,white,long,clothes,3,10,yes,50,5,7,2.923278148,101.6872035,2
21/10/2015,14:30:07,malay,,,38,yes,toddler,big,white,casual,grey,,black,long,clothes,3,7,no,12,1,7,2.916170107,101.650825,1
21/10/2015,14:32:50,malay,female,moderate,48,yes,young,big,blue,traditional,green,long sleeve,white,long,clothes,5,9,yes,35,1,13,2.933630644,101.7161121,1
21/10/2015,14:51:37,chinese,female,thin,,no,no_kids,big,black,casual,red,short_sleeve,brown,short,clothes,3,9,no,45,1,19,2.939977736,101.7336849,1
21/10/2015,15:05:32,malay,female,,42,yes,toddler,big,blue,,purple,long sleeve,purple,long,blankets,4,8,,48,0,12,2.96126395,101.6322195,1
21/10/2015,16:53:36,,,moderate,53,no,no_kids,small,white,casual,blue,short_sleeve,yellow,short,clothes,4,9,,14,2,12,2.942903902,101.7007535,2
21/10/2015,19:35:17,malay,female,fat,40,no,no_kids,big,,,brown,long sleeve,brown,long,clothes,6,8,no,15,0,17,2.970403509,101.6312264,1
21/10/2015,19:35:17,malay,female,moderate,53,no,no_kids,big,white,traditional,purple,long sleeve,purple,long,,4,7,yes,26,5,16,2.940293857,101.6527689,2
21/10/2015,19:35:17,indian,male,fat,49,no,no_kids,big,black,casual,black,short_sleeve,blue_jeans,long,clothes,3,7,no,48,0,7,2.906898887,101.6981818,
21/10/2015,21:13:41,malay,male,thin,52,,no_kids,big,black,traditional,,long sleeve,brown,long,clothes,6,10,no,55,1,13,2.957185786,101.7204164,
21/10/2015,21:13:41,malay,male,thin,32,no,no_kids,big,white,casual,black,short_sleeve,black,long,clothes,6,8,,43,4,18,2.90526394,101.6767583,1
21/10/2015,21:13:41,chinese,male,moderate,34,,no_kids,big,blue,casual,,short_sleeve,red,short,clothes,5,9,yes,50,3,13,2.906258654,101.6578782,1
21/10/2015,21:13:41,indian,male,thin,35,no,no_kids,big,white,formal,white,long sleeve,black,long,clothes,3,7,no,46,5,14,2.916636583,101.6540031,2
22/10/2015,7:31:47,malay,female,moderate,49,no,no_kids,big,yellow,traditional,white,long sleeve,white,long,clothes,4,8,no,46,3,14,2.926865293,101.6613881,1
22/10/2015,9:19:35,malay,female,fat,33,,no_kids,big,white,,blue,long sleeve,black,long,clothes,5,7,no,55,2,21,2.970452804,101.6702865,3
22/10/2015,9:19:35,malay,female,,55,no,no_kids,big,blue,formal,grey,long sleeve,black,long,clothes,4,8,no,58,1,9,2.96568898,101.6499519,3
22/10/2015,9:48:38,chinese,female,,,no,no_kids,big,blue,casual,pink,short_sleeve,black,long,blankets,4,7,no,36,0,14,2.956566257,101.6357485,
22/10/2015,10:08:57,malay,male,moderate,55,no,no_kids,big,blue,casual,white,short_sleeve,yellow,long,clothes,3,8,yes,37,5,21,2.935513585,101.629123,3
22/10/2015,10:50:38,malay,female,thin,49,no,no_kids,big,blue,casual,brown,long sleeve,black,long,clothes,5,9,no,55,3,19,2.959821806,101.7412559,
22/10/2015,10:50:38,malay,male,thin,46,no,no_kids,big,black,casual,red,short_sleeve,white,long,clothes,3,8,yes,21,1,15,2.905601006,101.7392814,1
22/10/2015,13:14:43,foreigner ,female,moderate,41,no,no_kids,big,white,casual,white,short_sleeve,white,long,clothes,5,10,no,56,2,16,2.957273201,101.6710524,
22/10/2015,13:17:51,,female,fat,,no,no_kids,big,blue,formal,pink,long sleeve,black,long,clothes,3,7,,36,3,17,2.966717465,101.6636236,3
22/10/2015,13:17:51,malay,male,fat,41,no,no_kids,big,,casual,green,short_sleeve,black,long,clothes,3,10,no,29,5,15,2.93177387,101.6399451,1
22/10/2015,14:38:23,,male,moderate,55,no,no_kids,small,,casual,brown,short_sleeve,grey,long,clothes,4,8,yes,37,3,10,2.949095496,101.6319816,3
22/10/2015,15:10:04,malay,female,moderate,34,no,no_kids,small,,casual,red,,purple,long,clothes,4,7,no,20,2,15,2.937062467,101.7095382,3
22/10/2015,15:42:25,malay,female,fat,40,no,no_kids,big,blue,casual,green,long sleeve,black,long,clothes,6,10,no,30,0,7,2.960587491,101.6462615,2
22/10/2015,18:42:40,indian,male,fat,44,no,no_kids,,white,casual,,short_sleeve,grey,short,clothes,5,7,,25,2,14,2.955890826,101.7137964,1
22/10/2015,19:48:07,chinese,male,thin,50,yes,baby,big,blue,casual,black,short_sleeve,black,long,clothes,3,10,no,19,0,13,2.942284986,101.6978443,2
22/10/2015,20:23:30,foreigner ,male,moderate,54,no,no_kids,big,blue,casual,black,,black,long,clothes,3,7,no,23,4,16,2.909529395,101.6997223,1
22/10/2015,20:49:14,chinese,male,thin,,no,no_kids,big,black,casual,black,short_sleeve,blue_jeans,long,clothes,5,8,no,46,4,9,2.929831259,101.7314182,3
22/10/2015,22:10:13,,male,moderate,32,no,no_kids,big,,,green,,brown,short,clothes,3,9,no,50,3,9,2.925045336,101.6968892,3
22/10/2015,22:52:01,,female,thin,32,no,no_kids,big,blue,casual,,short_sleeve,brown,short,clothes,3,9,no,59,4,7,2.932982259,101.7324483,1
22/10/2015,23:18:33,indian,male,fat,47,no,no_kids,big,,casual,blue,short_sleeve,black,short,clothes,6,7,no,15,2,17,2.920905791,101.6378199,1
23/10/2015,1:09:08,chinese,female,fat,30,yes,toddler,big,red,casual,red,short_sleeve,green,short,clothes,6,10,no,22,5,20,2.955510695,101.6774643,2
23/10/2015,1:31:55,chinese,male,fat,,no,no_kids,big,yellow,casual,brown,short_sleeve,black,long,,3,8,yes,50,5,,2.944350333,101.6316005,3
23/10/2015,1:52:36,indian,female,fat,39,no,no_kids,big,white,casual,grey,short_sleeve,black,long,,3,10,no,60,0,8,2.969741447,101.7326093,1
23/10/2015,2:48:52,malay,male,fat,40,no,no_kids,big,black,casual,blue,,grey,long,clothes,5,7,no,22,3,,2.946782315,101.6304899,3
23/10/2015,4:35:37,indian,male,moderate,,no,no_kids,big,yellow,formal,white,short_sleeve,black,long,clothes,5,8,no,52,1,18,2.92958325,101.7446153,3
23/10/2015,7:07:53,,female,fat,52,yes,baby,big,red,casual,white,short_sleeve,black,long,clothes,5,7,yes,15,0,19,2.950801571,101.6475723,3
23/10/2015,7:31:00,malay,male,fat,33,no,no_kids,big,red,casual,red,long sleeve,brown,short,clothes,3,7,no,29,3,,2.935362189,101.7431844,3
23/10/2015,10:27:02,chinese,male,thin,,no,no_kids,big,red,formal,white,short_sleeve,black,long,clothes,5,9,yes,44,2,15,2.940545969,101.6313899,1
23/10/2015,11:14:22,,male,fat,53,yes,baby,big,grey,casual,red,short_sleeve,,long,clothes,3,9,no,58,4,13,2.94649583,101.6606522,3
23/10/2015,11:17:03,malay,female,moderate,53,yes,toddler,big,,formal,pink,,black,long,clothes,4,7,no,23,3,7,2.91005925,101.6762791,2
23/10/2015,11:54:36,indian,male,,40,no,no_kids,small,green,formal,white,short_sleeve,black,,clothes,3,9,no,58,0,21,2.942211723,101.6304912,1
23/10/2015,11:59:37,malay,male,moderate,40,no,no_kids,big,white,formal,white,short_sleeve,grey,long,clothes,4,10,no,53,1,8,2.942248354,101.6891296,3
23/10/2015,12:00:06,malay,,fat,52,no,no_kids,big,blue,,black,long sleeve,black,long,clothes,6,10,no,48,1,13,2.958675928,101.6787285,3
23/10/2015,12:00:06,indian,male,fat,44,no,no_kids,big,white,casual,black,short_sleeve,grey,long,,4,10,no,19,5,,2.941856911,101.7165176,
23/10/2015,12:00:06,malay,male,fat,,,no_kids,,black,casual,black,short_sleeve,black,long,clothes,3,8,no,40,1,12,2.965896954,101.6735648,1
23/10/2015,12:01:53,,male,thin,44,no,no_kids,big,,,black,short_sleeve,red,short,,4,8,yes,34,2,18,2.945227113,101.7108932,2
23/10/2015,12:23:32,malay,female,thin,52,no,no_kids,big,blue,casual,,,blue,short,,5,8,,23,4,16,2.906171995,101.7234891,2
23/10/2015,12:57:44,malay,female,fat,39,no,no_kids,big,,casual,black,short_sleeve,black,long,clothes,6,8,no,13,3,14,2.929545039,101.7080012,1
23/10/2015,15:17:25,malay,female,thin,31,no,no_kids,big,white,casual,red,short_sleeve,,long,,3,7,no,29,4,14,2.936136301,101.7118102,1
23/10/2015,16:06:01,,male,thin,31,no,no_kids,big,white,formal,grey,,grey,long,clothes,6,9,no,54,4,,2.953809283,101.6512013,1
23/10/2015,16:06:01,,female,fat,40,no,no_kids,big,grey,casual,grey,long sleeve,,,clothes,4,9,no,36,2,14,2.949461681,101.729489,2
23/10/2015,16:11:32,malay,female,thin,28,yes,baby,big,white,casual,blue,,black,long,blankets,4,9,,16,5,21,2.919622323,101.7184368,1
23/10/2015,16:33:34,malay,female,moderate,41,no,no_kids,big,green,traditional,blue,long sleeve,blue,long,clothes,4,7,yes,11,1,9,2.94747878,101.7418065,2
23/10/2015,17:31:48,malay,female,moderate,41,yes,toddler,big,white,casual,red,short_sleeve,blue_jeans,long,clothes,6,10,no,28,3,14,2.921348541,101.646776,2
23/10/2015,17:31:48,malay,,fat,49,no,no_kids,big,blue,,,short_sleeve,white,long,clothes,5,9,no,41,0,20,2.924976939,101.6590791,1
23/10/2015,19:47:39,chinese,female,thin,30,no,no_kids,,white,casual,green,short_sleeve,,long,clothes,6,7,no,25,5,15,2.956082645,101.7154615,2
23/10/2015,19:55:14,chinese,male,moderate,48,no,no_kids,,blue,,white,short_sleeve,black,,clothes,3,9,no,19,4,13,2.949987021,101.6541451,1
23/10/2015,20:08:58,chinese,,moderate,34,,no_kids,big,,casual,white,short_sleeve,blue_jeans,long,clothes,5,7,no,15,0,11,2.963425135,101.741978,2
23/10/2015,20:39:42,foreigner ,male,thin,,no,no_kids,big,brown,casual,red,,grey,long,,6,9,no,36,4,12,2.940328973,101.7055251,2
23/10/2015,21:18:54,foreigner ,female,thin,39,,young,big,blue,casual,black,short_sleeve,black,long,clothes,3,9,no,11,1,20,2.938166689,101.6621167,2
23/10/2015,21:51:00,malay,female,moderate,,yes,toddler,big,red,casual,blue,long sleeve,black,long,,4,7,no,54,3,18,2.923160209,101.6656603,2
23/10/2015,22:31:34,indian,female,fat,40,yes,young,big,red,casual,purple,short_sleeve,,,clothes,4,10,no,53,1,18,2.916494544,101.7354934,3
23/10/2015,22:58:27,chinese,,thin,42,,no_kids,big,blue,casual,blue,short_sleeve,brown,long,clothes,5,9,yes,19,1,17,2.963186713,101.6832483,3
23/10/2015,23:38:01,,,fat,,no,no_kids,big,,casual,blue,short_sleeve,black,long,clothes,3,7,no,43,5,14,2.928833077,101.7399022,1
24/10/2015,0:18:48,chinese,male,fat,36,no,no_kids,big,,casual,,short_sleeve,,short,clothes,3,9,yes,58,3,19,2.918699478,101.6941536,1
24/10/2015,0:38:01,malay,,thin,28,yes,baby,big,,casual,red,short_sleeve,grey,long,clothes,3,9,no,17,3,21,2.906957309,101.6511576,3
24/10/2015,1:31:38,,male,fat,53,no,no_kids,big,red,casual,white,short_sleeve,black,long,clothes,3,7,yes,26,2,8,2.945394523,101.7070453,3
24/10/2015,6:44:22,malay,male,thin,42,,no_kids,big,,casual,yellow,,black,long,clothes,4,7,yes,22,5,8,2.943783594,101.731658,2
24/10/2015,6:56:49,chinese,female,,39,no,no_kids,big,red,casual,,short_sleeve,black,long,clothes,6,9,no,28,4,15,2.972629888,101.7191107,2
24/10/2015,8:51:44,,male,fat,40,no,no_kids,big,,casual,white,long sleeve,brown,,clothes,4,10,,51,4,14,2.935676597,101.7274257,1
24/10/2015,9:07:33,indian,female,thin,41,no,no_kids,big,green,casual,,short_sleeve,grey,long,,6,9,no,48,0,11,2.911565983,101.7095475,3
24/10/2015,9:22:05,malay,female,,50,no,no_kids,,red,casual,brown,long sleeve,brown,long,blankets,3,7,no,36,0,13,2.93940093,101.6495988,2
24/10/2015,9:23:10,malay,female,,48,no,no_kids,big,,casual,red,long sleeve,,long,clothes,6,9,no,57,3,10,2.971197986,101.6686288,3
24/10/2015,9:23:10,,female,thin,42,,no_kids,big,red,casual,green,long sleeve,red,long,clothes,6,8,,19,3,20,2.946191658,101.7327251,2
24/10/2015,9:24:29,malay,male,,51,,no_kids,small,white,casual,blue,,black,long,,6,10,no,45,0,11,2.938586136,101.6421316,2
24/10/2015,10:30:48,chinese,female,thin,54,,no_kids,big,red,,,short_sleeve,brown,short,clothes,6,9,no,11,5,7,2.96041273,101.6703822,2
24/10/2015,10:30:48,malay,male,thin,50,yes,toddler,,black,casual,black,,blue,long,clothes,4,10,no,21,5,13,2.971906764,101.7333458,1
24/10/2015,10:47:32,,female,fat,44,no,no_kids,big,blue,casual,,long sleeve,black,long,clothes,5,8,no,39,5,19,2.962840565,101.6707429,
24/10/2015,10:59:09,malay,,fat,,no,no_kids,big,blue,casual,blue,,black,long,clothes,4,9,no,,0,12,2.95610342,101.7455091,1
24/10/2015,11:12:18,malay,female,moderate,45,yes,young,,red,casual,black,short_sleeve,red,long,,4,7,,,0,19,2.939959365,101.6843272,
24/10/2015,11:32:11,malay,male,fat,41,yes,young,big,blue,casual,orange,short_sleeve,grey,short,clothes,6,10,,59,1,15,2.904171206,101.7115568,1
24/10/2015,11:34:26,indian,female,,37,no,no_kids,big,red,casual,grey,short_sleeve,brown,short,,6,7,no,,5,18,2.963192269,101.6578329,3
24/10/2015,12:00:51,indian,,,35,no,no_kids,big,black,casual,blue,,black,long,,3,7,no,,4,7,2.925180031,101.6878806,2
24/10/2015,12:14:54,chinese,male,thin,53,,baby,big,blue,,black,short_sleeve,grey,long,blankets,6,7,yes,17,3,10,2.908187096,101.6391063,2
24/10/2015,12:37:44,chinese,male,moderate,53,,,small,white,casual,red,short_sleeve,brown,short,,6,10,no,29,0,10,2.932600311,101.6594659,1
24/10/2015,13:05:01,chinese,male,,51,,no_kids,big,black,casual,red,short_sleeve,blue_jeans,long,clothes,6,7,no,38,4,14,2.931545986,101.6823876,2
24/10/2015,13:30:48,malay,female,,32,no,no_kids,big,red,casual,blue,short_sleeve,brown,long,clothes,4,8,yes,48,1,13,2.971431589,101.7405171,1
24/10/2015,13:37:15,malay,female,thin,52,,no_kids,big,,casual,red,short_sleeve,black,long,clothes,5,9,no,58,1,12,2.912918927,101.7331987,3
24/10/2015,13:37:15,malay,,thin,50,no,no_kids,big,,casual,green,long sleeve,white,long,,4,8,no,11,3,13,2.908755511,101.6887063,2
24/10/2015,14:07:01,malay,male,moderate,31,no,no_kids,big,red,casual,brown,short_sleeve,white,long,clothes,4,10,no,56,1,17,2.914610198,101.6718867,1
24/10/2015,14:28:38,indian,female,,54,no,no_kids,small,,casual,,short_sleeve,black,long,clothes,5,10,no,11,5,17,2.955138899,101.6788419,3
24/10/2015,14:39:02,foreigner ,male,thin,47,no,,big,blue,casual,blue,short_sleeve,black,,clothes,6,7,,22,0,14,2.959588224,101.7137654,2
24/10/2015,14:51:31,chinese,,,39,no,no_kids,big,black,casual,red,,black,short,,3,9,yes,37,3,18,2.969093026,101.6918532,1
